Random Generator,bet,02-2015,04-2015,06-2015,08-2015,10-2015,12-2015,02-2016,04-2016,06-2016,08-2016,10-2016,12-2016,02-2017,04-2017,06-2017,08-2017,10-2017,12-2017,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019
647,0.0908912005601451,0.2967479674796748,0.32098765432098764,0.29554655870445345,0.29365079365079366,0.29435483870967744,0.264,0.24206349206349206,0.22310756972111553,0.212,0.19433198380566802,0.20161290322580644,0.1910569105691057,0.17479674796747968,0.15040650406504066,0.09236947791164658,0.06827309236947791,0.0398406374501992,0.036,0.032520325203252036,0.04819277108433735,0.055776892430278883,0.05668016194331984,0.058091286307053944,0.06584362139917696,0.058577405857740586,0.05084745762711865,0.05084745762711865,0.042735042735042736,0.048034934497816595,0.03896103896103896
2536,0.0923083616362419,0.20866141732283464,0.18875502008032127,0.20481927710843373,0.17578125,0.1717557251908397,0.1576923076923077,0.13846153846153847,0.11742424242424243,0.12109375,0.12062256809338522,0.10894941634241245,0.0888030888030888,0.07905138339920949,0.07936507936507936,0.06640625,0.06324110671936758,0.0703125,0.08267716535433071,0.07142857142857142,0.05952380952380952,0.048,0.03543307086614173,0.0321285140562249,0.023809523809523808,0.027888446215139442,0.02390438247011952,0.01568627450980392,0.01984126984126984,0.024096385542168676,0.024291497975708502
8933,0.11621345092426101,0.4094488188976378,0.41732283464566927,0.4126984126984127,0.3953488372093023,0.38996138996138996,0.36742424242424243,0.31297709923664124,0.26640926640926643,0.2623574144486692,0.22137404580152673,0.20532319391634982,0.17293233082706766,0.1590909090909091,0.12643678160919541,0.0842911877394636,0.07224334600760456,0.05970149253731343,0.05660377358490566,0.04150943396226415,0.03690036900369004,0.029850746268656716,0.026119402985074626,0.018867924528301886,0.022641509433962263,0.02247191011235955,0.022641509433962263,0.03383458646616541,0.04980842911877394,0.04263565891472868,0.038461538461538464
2655,0.0895317480375525,0.296,0.296,0.26422764227642276,0.2530612244897959,0.24081632653061225,0.2074688796680498,0.18930041152263374,0.1673469387755102,0.1646090534979424,0.12903225806451613,0.10756972111553785,0.11155378486055777,0.11740890688259109,0.092,0.084,0.06451612903225806,0.07228915662650602,0.07142857142857142,0.06072874493927125,0.03225806451612903,0.036290322580645164,0.032388663967611336,0.024096385542168676,0.02390438247011952,0.012244897959183673,0.01646090534979424,0.012244897959183673,0.020161290322580645,0.024193548387096774,0.028225806451612902
603,0.126536547607975,0.35537190082644626,0.3682008368200837,0.401673640167364,0.3950617283950617,0.37349397590361444,0.3588709677419355,0.3029045643153527,0.2581967213114754,0.19421487603305784,0.12340425531914893,0.13135593220338984,0.10683760683760683,0.0811965811965812,0.0811965811965812,0.08438818565400844,0.07659574468085106,0.06276150627615062,0.05084745762711865,0.04310344827586207,0.021834061135371178,0.013043478260869565,0.012987012987012988,0.008771929824561403,0.012658227848101266,0.020833333333333332,0.024793388429752067,0.03347280334728033,0.029166666666666667,0.03333333333333333,0.034482758620689655
1795,0.210858540481422,0.3755274261603376,0.379746835443038,0.37083333333333335,0.4132231404958678,0.4297520661157025,0.42738589211618255,0.3483606557377049,0.3168724279835391,0.27385892116182575,0.2827868852459016,0.29098360655737704,0.3048780487804878,0.291497975708502,0.2540322580645161,0.2540322580645161,0.2701612903225806,0.26907630522088355,0.288,0.2816326530612245,0.24596774193548387,0.22267206477732793,0.22310756972111553,0.24701195219123506,0.268,0.27165354330708663,0.25882352941176473,0.20634920634920634,0.176,0.16535433070866143,0.17254901960784313
4220,0.0791730470780749,0.23170731707317074,0.25101214574898784,0.24793388429752067,0.24691358024691357,0.2190082644628099,0.1991701244813278,0.17573221757322174,0.16597510373443983,0.1322314049586777,0.10245901639344263,0.10699588477366255,0.09349593495934959,0.0846774193548387,0.08264462809917356,0.08403361344537816,0.08860759493670886,0.1087866108786611,0.09876543209876543,0.09166666666666666,0.08786610878661087,0.07053941908713693,0.07172995780590717,0.058823529411764705,0.05508474576271186,0.05217391304347826,0.04310344827586207,0.04329004329004329,0.030303030303030304,0.021834061135371178,0.017467248908296942
7796,0.13315916459541802,0.2923728813559322,0.27310924369747897,0.2697095435684647,0.30327868852459017,0.3130081300813008,0.2979591836734694,0.2786885245901639,0.2336065573770492,0.1934156378600823,0.1652892561983471,0.145748987854251,0.13414634146341464,0.10040160642570281,0.10569105691056911,0.11328125,0.109375,0.11969111969111969,0.15234375,0.16731517509727625,0.13333333333333333,0.10980392156862745,0.10116731517509728,0.0888030888030888,0.06640625,0.06177606177606178,0.0622568093385214,0.06772908366533864,0.06097560975609756,0.060240963855421686,0.06374501992031872
8140,0.193136174685787,0.4403292181069959,0.4186991869918699,0.3877551020408163,0.4251012145748988,0.44534412955465585,0.4816326530612245,0.44672131147540983,0.3950617283950617,0.363265306122449,0.2891566265060241,0.2350597609561753,0.24313725490196078,0.18503937007874016,0.13147410358565736,0.124,0.11553784860557768,0.15019762845849802,0.1532258064516129,0.1553784860557769,0.15079365079365079,0.1541501976284585,0.1422924901185771,0.14342629482071714,0.1394422310756972,0.112,0.09765625,0.06538461538461539,0.07251908396946564,0.07251908396946564,0.07279693486590039
4211,0.16436384133994597,0.24789915966386555,0.25206611570247933,0.25,0.26639344262295084,0.308,0.3306122448979592,0.3183673469387755,0.3024193548387097,0.30364372469635625,0.28,0.24110671936758893,0.18326693227091634,0.16929133858267717,0.148,0.15725806451612903,0.1885245901639344,0.2388663967611336,0.2768595041322314,0.2581967213114754,0.24793388429752067,0.25,0.21161825726141079,0.19583333333333333,0.18930041152263374,0.1859504132231405,0.1951219512195122,0.16115702479338842,0.16194331983805668,0.15040650406504066,0.15289256198347106
991,0.210402806126513,0.45188284518828453,0.47058823529411764,0.46835443037974683,0.4411764705882353,0.45081967213114754,0.4149377593360996,0.37448559670781895,0.2786885245901639,0.17355371900826447,0.12244897959183673,0.10843373493975904,0.11646586345381527,0.1214574898785425,0.10612244897959183,0.11693548387096774,0.12550607287449392,0.14457831325301204,0.148,0.128,0.1016260162601626,0.06827309236947791,0.05622489959839357,0.07317073170731707,0.08713692946058091,0.09166666666666666,0.09166666666666666,0.10460251046025104,0.12757201646090535,0.1440329218106996,0.14227642276422764
9062,0.0922362974728458,0.26720647773279355,0.24,0.23387096774193547,0.23790322580645162,0.24596774193548387,0.285140562248996,0.25691699604743085,0.23412698412698413,0.2265625,0.20703125,0.17692307692307693,0.13846153846153847,0.10687022900763359,0.08745247148288973,0.07251908396946564,0.05384615384615385,0.04980842911877394,0.04924242424242424,0.03759398496240601,0.02247191011235955,0.01858736059479554,0.022222222222222223,0.022222222222222223,0.014814814814814815,0.01858736059479554,0.01486988847583643,0.02247191011235955,0.026717557251908396,0.03076923076923077,0.03137254901960784
1951,0.0749877469497733,0.20948616600790515,0.20717131474103587,0.19921875,0.17307692307692307,0.16091954022988506,0.18250950570342206,0.19540229885057472,0.17307692307692307,0.1423076923076923,0.13846153846153847,0.1532567049808429,0.1423076923076923,0.11969111969111969,0.09652509652509653,0.09195402298850575,0.07633587786259542,0.07224334600760456,0.06766917293233082,0.051094890510948905,0.029411764705882353,0.025547445255474453,0.022222222222222223,0.018518518518518517,0.014760147601476014,0.011111111111111112,0.01098901098901099,0.007434944237918215,0.01893939393939394,0.01893939393939394,0.023255813953488372
8080,0.16874828593572597,0.3177966101694915,0.31223628691983124,0.3138075313807531,0.3487394957983193,0.3474576271186441,0.3628691983122363,0.34763948497854075,0.3333333333333333,0.29914529914529914,0.27705627705627706,0.2815126050420168,0.27800829875518673,0.22727272727272727,0.1729957805907173,0.1148936170212766,0.08225108225108226,0.08189655172413793,0.08296943231441048,0.0881057268722467,0.07079646017699115,0.06696428571428571,0.05333333333333334,0.05,0.05429864253393665,0.05660377358490566,0.051643192488262914,0.04285714285714286,0.03271028037383177,0.023148148148148147,0.018518518518518517
1697,0.0901596365612932,0.2938775510204082,0.3004115226337449,0.28688524590163933,0.2874015748031496,0.29365079365079366,0.2627450980392157,0.23735408560311283,0.2109375,0.19291338582677164,0.1607843137254902,0.1593625498007968,0.132,0.1016260162601626,0.07317073170731707,0.07661290322580645,0.07692307692307693,0.06048387096774194,0.06854838709677419,0.0642570281124498,0.06153846153846154,0.06513409961685823,0.04296875,0.0311284046692607,0.026615969581749048,0.03773584905660377,0.03409090909090909,0.026923076923076925,0.0234375,0.023076923076923078,0.01568627450980392
2107,0.20057175614638298,0.41472868217054265,0.42412451361867703,0.42578125,0.42857142857142855,0.4,0.4115384615384615,0.4015748031496063,0.30952380952380953,0.23046875,0.1803921568627451,0.17254901960784313,0.20077220077220076,0.19923371647509577,0.1744186046511628,0.11538461538461539,0.10038610038610038,0.07575757575757576,0.05426356589147287,0.051181102362204724,0.056451612903225805,0.05263157894736842,0.06147540983606557,0.03319502074688797,0.049586776859504134,0.04184100418410042,0.03734439834024896,0.036734693877551024,0.032520325203252036,0.032520325203252036,0.0326530612244898
2258,0.15220735503244198,0.32489451476793246,0.30472103004291845,0.32456140350877194,0.3559322033898305,0.38333333333333336,0.4132231404958678,0.3775933609958506,0.3458333333333333,0.34274193548387094,0.3386454183266932,0.36293436293436293,0.3436293436293436,0.33852140077821014,0.2723735408560311,0.2196078431372549,0.20930232558139536,0.19157088122605365,0.1520912547528517,0.1576923076923077,0.16091954022988506,0.13740458015267176,0.13011152416356878,0.1417910447761194,0.14074074074074075,0.13602941176470587,0.13553113553113552,0.13653136531365315,0.10074626865671642,0.06666666666666667,0.041044776119402986
4436,0.0574926581757609,0.15354330708661418,0.140625,0.16015625,0.15625,0.1640625,0.15708812260536398,0.13846153846153847,0.11494252873563218,0.09961685823754789,0.07984790874524715,0.06463878326996197,0.052434456928838954,0.03745318352059925,0.029304029304029304,0.026119402985074626,0.022388059701492536,0.014652014652014652,0.007407407407407408,0.007326007326007326,0.01098901098901099,0.007380073800738007,0.007326007326007326,0.007434944237918215,0.011194029850746268,0.015267175572519083,0.026923076923076925,0.03007518796992481,0.05019305019305019,0.05405405405405406,0.057692307692307696
6085,0.132225507020485,0.2807017543859649,0.32286995515695066,0.33031674208144796,0.3482142857142857,0.3577586206896552,0.34051724137931033,0.34347826086956523,0.3056768558951965,0.2765957446808511,0.25738396624472576,0.23109243697478993,0.225,0.1908713692946058,0.17573221757322174,0.15510204081632653,0.14049586776859505,0.1125,0.12863070539419086,0.12605042016806722,0.12757201646090535,0.11983471074380166,0.12295081967213115,0.12295081967213115,0.12396694214876033,0.10416666666666667,0.1037344398340249,0.0875,0.08264462809917356,0.07627118644067797,0.07983193277310924
238,0.0665524277370423,0.11788617886178862,0.12396694214876033,0.14166666666666666,0.15767634854771784,0.17142857142857143,0.16532258064516128,0.14979757085020243,0.14,0.12301587301587301,0.10756972111553785,0.09523809523809523,0.06772908366533864,0.05533596837944664,0.05241935483870968,0.04878048780487805,0.056910569105691054,0.04819277108433735,0.05555555555555555,0.040160642570281124,0.044,0.032520325203252036,0.032,0.02834008097165992,0.028688524590163935,0.024291497975708502,0.028112449799196786,0.024,0.015873015873015872,0.016129032258064516,0.008403361344537815
8775,0.111353827879066,0.35390946502057613,0.37344398340248963,0.3879310344827586,0.4279475982532751,0.39473684210526316,0.3805309734513274,0.31981981981981983,0.28761061946902655,0.22608695652173913,0.17094017094017094,0.1308016877637131,0.09051724137931035,0.07327586206896551,0.05726872246696035,0.05701754385964912,0.05726872246696035,0.06167400881057269,0.05726872246696035,0.05603448275862069,0.0391304347826087,0.025974025974025976,0.02564102564102564,0.02575107296137339,0.017094017094017096,0.02127659574468085,0.02109704641350211,0.028925619834710745,0.03305785123966942,0.05439330543933055,0.058333333333333334
151,0.094389869045699,0.2823529411764706,0.2480916030534351,0.2702702702702703,0.3076923076923077,0.3193916349809886,0.30038022813688214,0.2788104089219331,0.2767527675276753,0.2783882783882784,0.26394052044609667,0.2518518518518518,0.2087912087912088,0.18888888888888888,0.17100371747211895,0.13108614232209737,0.09737827715355805,0.09259259259259259,0.09363295880149813,0.0830188679245283,0.07196969696969698,0.06934306569343066,0.07194244604316546,0.06498194945848375,0.06785714285714285,0.07220216606498195,0.05714285714285714,0.04946996466431095,0.05017921146953405,0.03900709219858156,0.0353356890459364
9532,0.10625411119544902,0.25089605734767023,0.259927797833935,0.27941176470588236,0.30036630036630035,0.32971014492753625,0.34306569343065696,0.3248175182481752,0.30597014925373134,0.2767527675276753,0.23703703703703705,0.2222222222222222,0.18518518518518517,0.14391143911439114,0.12915129151291513,0.11397058823529412,0.08118081180811808,0.06985294117647059,0.07777777777777778,0.07116104868913857,0.05747126436781609,0.05405405405405406,0.05747126436781609,0.06390977443609022,0.058394160583941604,0.07037037037037037,0.08,0.07692307692307693,0.08058608058608059,0.06691449814126393,0.056179775280898875
9438,0.12513316567638,0.1440329218106996,0.1652892561983471,0.20081967213114754,0.1951219512195122,0.19838056680161945,0.23236514522821577,0.22127659574468084,0.19915254237288135,0.16877637130801687,0.14705882352941177,0.13636363636363635,0.11203319502074689,0.07818930041152264,0.06722689075630252,0.07142857142857142,0.06639004149377593,0.06557377049180328,0.06072874493927125,0.05622489959839357,0.04417670682730924,0.03187250996015936,0.028225806451612902,0.02390438247011952,0.01984126984126984,0.01968503937007874,0.0196078431372549,0.023715415019762844,0.027559055118110236,0.027777777777777776,0.03614457831325301
9770,0.21584273440530496,0.48936170212765956,0.5128205128205128,0.5109170305676856,0.4780701754385965,0.4577777777777778,0.44,0.3537117903930131,0.2807017543859649,0.20704845814977973,0.18061674008810572,0.16017316017316016,0.16956521739130434,0.16810344827586207,0.15086206896551724,0.11790393013100436,0.1111111111111111,0.11659192825112108,0.1004566210045662,0.09049773755656108,0.08181818181818182,0.06363636363636363,0.05,0.05357142857142857,0.07174887892376682,0.06334841628959276,0.06167400881057269,0.04824561403508772,0.02654867256637168,0.026905829596412557,0.017777777777777778
7353,0.147850694291992,0.2966101694915254,0.26382978723404255,0.27896995708154504,0.3130434782608696,0.3217391304347826,0.35807860262008734,0.34649122807017546,0.3303964757709251,0.2875536480686695,0.27310924369747897,0.26141078838174275,0.2222222222222222,0.18699186991869918,0.1598360655737705,0.1225296442687747,0.10441767068273092,0.08835341365461848,0.10080645161290322,0.09163346613545817,0.0984251968503937,0.099601593625498,0.09523809523809523,0.08433734939759036,0.07317073170731707,0.06477732793522267,0.05761316872427984,0.03319502074688797,0.029535864978902954,0.0546218487394958,0.05042016806722689
783,0.098805391107453,0.29545454545454547,0.2909090909090909,0.2857142857142857,0.29910714285714285,0.32751091703056767,0.3157894736842105,0.3056768558951965,0.27631578947368424,0.25333333333333335,0.20704845814977973,0.17467248908296942,0.14285714285714285,0.11013215859030837,0.08658008658008658,0.06382978723404255,0.0635593220338983,0.07659574468085106,0.06896551724137931,0.06956521739130435,0.07792207792207792,0.08620689655172414,0.07983193277310924,0.08860759493670886,0.06896551724137931,0.05603448275862069,0.0546218487394958,0.05042016806722689,0.04602510460251046,0.03305785123966942,0.025
1691,0.128766790381633,0.2777777777777778,0.3037383177570093,0.2995391705069124,0.2798165137614679,0.2962962962962963,0.3302325581395349,0.3317972350230415,0.3013698630136986,0.2747747747747748,0.25112107623318386,0.25112107623318386,0.24888888888888888,0.22123893805309736,0.17777777777777778,0.14473684210526316,0.11587982832618025,0.08898305084745763,0.09787234042553192,0.0794979079497908,0.07083333333333333,0.09917355371900827,0.09583333333333334,0.07627118644067797,0.06639004149377593,0.058577405857740586,0.04526748971193416,0.040983606557377046,0.028225806451612902,0.02032520325203252,0.008264462809917356
1166,0.223590125131886,0.4291845493562232,0.4199134199134199,0.44396551724137934,0.49572649572649574,0.48936170212765956,0.5194805194805194,0.5,0.45569620253164556,0.40585774058577406,0.38333333333333336,0.2987551867219917,0.27800829875518673,0.2301255230125523,0.20833333333333334,0.1950207468879668,0.1836734693877551,0.20161290322580644,0.1910569105691057,0.18181818181818182,0.1510204081632653,0.11836734693877551,0.1087866108786611,0.10256410256410256,0.09523809523809523,0.09251101321585903,0.07391304347826087,0.09523809523809523,0.10300429184549356,0.11063829787234042,0.10300429184549356
