"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
915,0.39061,18.7923,8.224e-06,8.224e-06,8.21237825841093e-06,8.21237825841093e-06,8.21237825841093e-06,8.19226261928242e-06,8.16428345143294e-06,8.16428345143294e-06,8.15166874053042e-06,8.11181322703011e-06,8.11181322703011e-06,8.09788070046402e-06,8.07374761382699e-06,8.0358392298276e-06,8.01359801006318e-06,7.97128929202787e-06,7.92753719429014e-06,7.87676768022491e-06,7.86418392067223e-06,7.81196113219405e-06,7.76681312614912e-06,0
813,0.123137,11.85,1.0425e-06,1.0425e-06,1.04102679163344e-06,1.04102679163344e-06,1.04102679163344e-06,1.03847687020938e-06,1.03493014325375e-06,1.03493014325375e-06,1.03333106298674e-06,1.02827885325619e-06,1.02827885325619e-06,1.02651272254788e-06,1.0234535368938e-06,1.01864815139777e-06,1.01582878471436e-06,1.01046559909278e-06,1.00491944613904e-06,9.98483743511e-07,9.96888586734046e-07,9.90268662489335e-07,9.84545559826174e-07,0
893,0.955091,10.1723,3.8078e-06,3.8078e-06,3.8024190092871e-06,3.8024190092871e-06,3.8024190092871e-06,3.79310525312544e-06,3.78015059902315e-06,3.78015059902315e-06,3.77430985289296e-06,3.75585632367282e-06,3.75585632367282e-06,3.74940541478926e-06,3.7382315374429e-06,3.72067955001672e-06,3.71038162727609e-06,3.690792238106e-06,3.67053454868896e-06,3.6470277204232e-06,3.64120130509919e-06,3.61702159522963e-06,3.5961175853296e-06,0
850,0.0639608,1.69158,4.11203e-05,4.11203e-05,4.10621908681098e-05,4.10621908681098e-05,4.10621908681098e-05,4.09616119386769e-05,4.08217150787887e-05,4.08217150787887e-05,4.0758641064109e-05,4.05593620427342e-05,4.05593620427342e-05,4.04896989016647e-05,4.03690325881383e-05,4.01794892852967e-05,4.0068282375146e-05,3.98567372416067e-05,3.96379751569028e-05,3.93841257345759e-05,3.93212064777746e-05,3.90600906303695e-05,3.88343489532089e-05,0
908,0.405746,27.3353,2.7182e-06,2.7182e-06,2.71435877699569e-06,2.71435877699569e-06,2.71435877699569e-06,2.70771014734113e-06,2.698462460808e-06,2.698462460808e-06,2.69429304116121e-06,2.68111997978031e-06,2.68111997978031e-06,2.67651499513634e-06,2.66853851701174e-06,2.65600902170688e-06,2.64865784423075e-06,2.63467394863694e-06,2.62021298656608e-06,2.6034326250471e-06,2.5992734354537e-06,2.58201273705373e-06,2.56709039877171e-06,0
873,0.384619,7.03182,2.37199e-05,2.37199e-05,2.36863802348834e-05,2.36863802348834e-05,2.36863802348834e-05,2.36283621234335e-05,2.35476637937311e-05,2.35476637937311e-05,2.35112800776395e-05,2.33963276463803e-05,2.33963276463803e-05,2.33561430480224e-05,2.32865376976185e-05,2.31772012338993e-05,2.31130524609554e-05,2.29910244258234e-05,2.28648333529721e-05,2.27184024438432e-05,2.26821079985352e-05,2.25314855130751e-05,2.24012683208833e-05,0
868,0.0212435,0.398508,3.96297e-05,3.96297e-05,3.95736973087728e-05,3.95736973087728e-05,3.95736973087728e-05,3.9476764338932e-05,3.93419387032164e-05,3.93419387032164e-05,3.92811511048879e-05,3.9089095895335e-05,3.9089095895335e-05,3.90219580247056e-05,3.89056658331322e-05,3.87229934248904e-05,3.86158177358221e-05,3.84119410574267e-05,3.82011090404377e-05,3.79564615925351e-05,3.78958231421527e-05,3.76441726751593e-05,3.74266140740943e-05,0
804,0.525846,9.7766,1.29268e-05,1.29268e-05,1.29085324988845e-05,1.29085324988845e-05,1.29085324988845e-05,1.28769139624197e-05,1.28329352285972e-05,1.28329352285972e-05,1.28131069400643e-05,1.27504605086543e-05,1.27504605086543e-05,1.27285608266973e-05,1.26906275114809e-05,1.26310416532266e-05,1.25960820472379e-05,1.25295795744389e-05,1.24608083418227e-05,1.23810068639022e-05,1.23612272258932e-05,1.22791414352682e-05,1.22081760602024e-05,0
761,0.101272,8.28464,1.06909e-05,1.06909e-05,1.06757921598791e-05,1.06757921598791e-05,1.06757921598791e-05,1.06496425628023e-05,1.06132706652389e-05,1.06132706652389e-05,1.05968720012326e-05,1.05450612875555e-05,1.05450612875555e-05,1.05269495112586e-05,1.04955773789717e-05,1.04462978626172e-05,1.0417385088252e-05,1.03623852981689e-05,1.03055091671251e-05,1.0239510650841e-05,1.02231522224604e-05,1.0155264502453e-05,1.00965737415306e-05,0
756,0.890055,68.1941,9.6617e-06,9.6617e-06,9.64804657335711e-06,9.64804657335711e-06,9.64804657335711e-06,9.6244143663328e-06,9.59154394731391e-06,9.59154394731391e-06,9.57672396283836e-06,9.52990100384202e-06,9.52990100384202e-06,9.51353282632213e-06,9.48518085122959e-06,9.44064541425405e-06,9.41451603767356e-06,9.36481101079593e-06,9.31341027603028e-06,9.25376535700741e-06,9.23898173472262e-06,9.17762948333161e-06,9.12458881090892e-06,0
794,0.164833,24.6698,4.168e-07,4.168e-07,4.16210999283278e-07,4.16210999283278e-07,4.16210999283278e-07,4.15191519907212e-07,4.13773509552195e-07,4.13773509552195e-07,4.1313418422338e-07,4.11114269580028e-07,4.11114269580028e-07,4.10408156122739e-07,4.09185068755239e-07,4.07263836453325e-07,4.06136630665653e-07,4.03992385325537e-07,4.01774988154199e-07,3.99201941770153e-07,3.98564185084653e-07,3.95917485396216e-07,3.93629342288297e-07,0
953,0.0682627,2.95668,6.49377e-05,6.49377e-05,6.48459333209158e-05,6.48459333209158e-05,6.48459333209158e-05,6.46870977981732e-05,6.4466170900306e-05,6.4466170900306e-05,6.43665636152653e-05,6.40518596538075e-05,6.40518596538075e-05,6.3941846736688e-05,6.37512889618692e-05,6.34519597707655e-05,6.32763404058949e-05,6.29422656443237e-05,6.2596793781816e-05,6.21959115501144e-05,6.20965486606806e-05,6.16841911982098e-05,6.13276970746515e-05,0
913,0.251136,17.7175,6.4475e-06,6.4475e-06,6.43838871851951e-06,6.43838871851951e-06,6.43838871851951e-06,6.42261834117503e-06,6.40068306822883e-06,6.40068306822883e-06,6.39079331281248e-06,6.35954715239259e-06,6.35954715239259e-06,6.34862424808387e-06,6.32970424855903e-06,6.29998461020348e-06,6.28254780762188e-06,6.24937836944914e-06,6.21507734194865e-06,6.17527475902846e-06,6.16540926903383e-06,6.12446733947241e-06,6.08907193954845e-06,0
956,0.70433,1.14364,1.2914e-06,1.2914e-06,1.28957505871983e-06,1.28957505871983e-06,1.28957505871983e-06,1.28641633591213e-06,1.28202281726417e-06,1.28202281726417e-06,1.28004195179e-06,1.27378351184177e-06,1.27378351184177e-06,1.27159571213269e-06,1.26780613673348e-06,1.26185345104564e-06,1.25836095211522e-06,1.25171728984981e-06,1.2448469762532e-06,1.23687473033104e-06,1.23489872509194e-06,1.22669827408991e-06,1.21960876351033e-06,0
960,0.926273,49.0354,5.892e-07,5.892e-07,5.88367372307359e-07,5.88367372307359e-07,5.88367372307359e-07,5.86926208083804e-07,5.84921669453342e-07,5.84921669453342e-07,5.84017901498118e-07,5.8116249432954e-07,5.8116249432954e-07,5.80164312829937e-07,5.78435322722138e-07,5.75719415638913e-07,5.74125966382445e-07,5.71094801904526e-07,5.67960227976137e-07,5.64322898490821e-07,5.63421348013142e-07,5.59679900181023e-07,5.56445317841326e-07,0
963,0.0727395,1.57702,4.70925e-05,4.70925e-05,4.70259512565925e-05,4.70259512565925e-05,4.70259512565925e-05,4.69107645183071e-05,4.67505494207935e-05,4.67505494207935e-05,4.66783147085881e-05,4.6450092946731e-05,4.6450092946731e-05,4.63703121214253e-05,4.62321205622747e-05,4.60150485081051e-05,4.58876902102262e-05,4.56454208395942e-05,4.53948863475326e-05,4.51041685288171e-05,4.50321110511013e-05,4.47330714515866e-05,4.44745436701335e-05,0
962,0.217065,13.7413,4.176e-07,4.176e-07,4.17009868763668e-07,4.17009868763668e-07,4.17009868763668e-07,4.15988432613368e-07,4.14567700549416e-07,4.14567700549416e-07,4.13927148108646e-07,4.11903356469817e-07,4.11903356469817e-07,4.11195887708387e-07,4.09970452764366e-07,4.0804553287646e-07,4.0691616354601e-07,4.04767802571843e-07,4.02546149359869e-07,3.9996816430714e-07,3.99329183520516e-07,3.96677403794289e-07,3.94384868856988e-07,0
900,0.551524,60.3723,1.09174e-05,1.09174e-05,1.09019720815145e-05,1.09019720815145e-05,1.09019720815145e-05,1.08752684727327e-05,1.08381259913271e-05,1.08381259913271e-05,1.08213799012484e-05,1.0768471513227e-05,1.0768471513227e-05,1.07499760164453e-05,1.07179392265558e-05,1.06676156624173e-05,1.06380903350029e-05,1.05819253060293e-05,1.05238441834804e-05,1.04564474066254e-05,1.04397424046142e-05,1.03704163989075e-05,1.03104822012914e-05,0
