"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
815,0.30941,23.7118,2.4376e-05,2.43699969830852e-05,2.43699969830852e-05,2.43268322436811e-05,2.43093179029659e-05,2.43093179029659e-05,2.42680382759041e-05,2.4233977721718e-05,2.41685551899938e-05,2.40349712648361e-05,2.40303198177882e-05,2.39703737848069e-05,2.39703737848069e-05,2.35194537374488e-05,2.29325909248328e-05,2.24203195240784e-05,1.73166335850456e-05,1.34889758715517e-05,1.06682649920931e-05,8.34493108287319e-06,6.54886126251219e-06,0
805,0.080489,8.30391,0.000108885,0.000108858185161767,0.000108858185161767,0.000108665372860733,0.000108587138163129,0.000108587138163129,0.000108402746458476,0.000108250601584725,0.000107958366092159,0.000107361660903006,0.000107340883383651,0.000107073110828631,0.000107073110828631,0.000105058898925259,0.000102437445144832,0.00010014918326958,7.73515608757665e-05,6.02538208801241e-05,4.7654005319333e-05,3.72759197964657e-05,2.92530668923794e-05,0
1129,0.326357,24.4047,3.54513e-05,3.54425694964903e-05,3.54425694964903e-05,3.53797927436992e-05,3.53543207160082e-05,3.53543207160082e-05,3.52942855813323e-05,3.52447495243658e-05,3.51496020925101e-05,3.49553239580359e-05,3.4948559113733e-05,3.48613764422926e-05,3.48613764422926e-05,3.42055796801124e-05,3.33520741981262e-05,3.26070509330472e-05,2.51844918039681e-05,1.96177276958952e-05,1.55154193761975e-05,1.2136472567208e-05,9.52435367885208e-06,0
743,0.0113556,9.34302,3.87452e-05,3.87356583159268e-05,3.87356583159268e-05,3.86670487630405e-05,3.8639210043239e-05,3.8639210043239e-05,3.85735968414653e-05,3.85194582221656e-05,3.84154703211088e-05,3.82031411490945e-05,3.81957477602629e-05,3.81004646524081e-05,3.81004646524081e-05,3.73837355984658e-05,3.64509280399094e-05,3.56366821473712e-05,2.75244679840543e-05,2.14404770240583e-05,1.69570093851184e-05,1.32641132175967e-05,1.04092935423485e-05,0
641,0.898262,23.5802,1.87905e-05,1.87858725102832e-05,1.87858725102832e-05,1.87525985098002e-05,1.87390973931605e-05,1.87390973931605e-05,1.87072765516645e-05,1.86810206096136e-05,1.86305889521488e-05,1.85276143564121e-05,1.85240287387656e-05,1.84778186988601e-05,1.84778186988601e-05,1.81302221633382e-05,1.76778326949898e-05,1.72829428133079e-05,1.33487119863718e-05,1.03981211484408e-05,8.22374603437504e-06,6.43277927111621e-06,5.04825966332603e-06,0
688,0.0688395,6.49657,4.6282e-06,4.62706022469293e-06,4.62706022469293e-06,4.61886466156076e-06,4.61553926478941e-06,4.61553926478941e-06,4.60770162243761e-06,4.60123464439018e-06,4.58881305917006e-06,4.56344986904801e-06,4.56256671236821e-06,4.55118493398602e-06,4.55118493398602e-06,4.46557006020925e-06,4.35414413022281e-06,4.25688065397684e-06,3.28785869536872e-06,2.56111249297323e-06,2.02555234806389e-06,1.58442771733483e-06,1.2434131807991e-06,0
655,0.303005,4.32539,2.8483e-06,2.84759855624063e-06,2.84759855624063e-06,2.84255481948133e-06,2.84050829434763e-06,2.84050829434763e-06,2.8356848302124e-06,2.83170490419959e-06,2.82406037691415e-06,2.8084512903525e-06,2.80790777555818e-06,2.80090316915267e-06,2.80090316915267e-06,2.74821382016637e-06,2.67963975759769e-06,2.61978159256779e-06,2.02342334428476e-06,1.57616713057683e-06,1.24657118382749e-06,9.75093009654894e-07,7.65224874221097e-07,0
780,0.755638,16.928,1.87748e-05,1.87701763766831e-05,1.87701763766831e-05,1.8736930177579e-05,1.87234403415082e-05,1.87234403415082e-05,1.86916460872351e-05,1.86654120827745e-05,1.86150225624014e-05,1.85121340048837e-05,1.85085513831232e-05,1.84623799530273e-05,1.84623799530273e-05,1.81150738443491e-05,1.7663062360336e-05,1.72685024204409e-05,1.33375587558465e-05,1.03894332209226e-05,8.21687485943346e-06,6.4274045001119e-06,5.04404169803962e-06,0
780,0.843976,53.3898,3.26645e-05,3.26564557947976e-05,3.26564557947976e-05,3.25986138752758e-05,3.25751441845024e-05,3.25751441845024e-05,3.25198283665601e-05,3.24741863017335e-05,3.2386518337855e-05,3.22075122612503e-05,3.22012791962645e-05,3.2120949888982e-05,3.2120949888982e-05,3.15167048164956e-05,3.07302927578028e-05,3.00438352106276e-05,2.32047578658812e-05,1.80755928928577e-05,1.4295763941345e-05,1.11824335968375e-05,8.77565140750448e-06,0
796,0.204767,7.19928,2.93275e-05,2.93202775894909e-05,2.93202775894909e-05,2.92683447910469e-05,2.92472727600604e-05,2.92472727600604e-05,2.91976079970699e-05,2.91566287181524e-05,2.90779168991854e-05,2.89171980542124e-05,2.89116017581303e-05,2.88394788797967e-05,2.88394788797967e-05,2.82969633855034e-05,2.75908910546453e-05,2.69745618986876e-05,2.0834163581614e-05,1.62289932668581e-05,1.28353110254189e-05,1.00400380018446e-05,7.87913228898614e-06,0
767,0.131022,3.19229,0.000221129,0.000221074543110955,0.000221074543110955,0.000220682970430463,0.000220524087568303,0.000220524087568303,0.000220149615848063,0.00021984063257408,0.00021924714639843,0.000218035328225383,0.000217993132219712,0.000217449326577805,0.000217449326577805,0.000213358766225317,0.000208034989277049,0.000203387874796518,0.000157089344766473,0.000122366415552197,9.67780919525993e-05,7.57017667141723e-05,5.94085634278822e-05,0
828,0.186735,2.2594,0.000189851,0.00018980424586625,0.00018980424586625,0.000189468059907085,0.000189331650524942,0.000189331650524942,0.000189010146649108,0.000188744868085243,0.000188235328658332,0.00018719491834593,0.000187158690832249,0.000186691804784188,0.000186691804784188,0.000183179841299163,0.000178609095818446,0.000174619301032401,0.000134869552131379,0.000105058071799719,8.30891359129419e-05,6.4993990442015e-05,5.10054094006072e-05,0
667,0.814659,18.023,5.66642e-05,5.66502454483482e-05,5.66502454483482e-05,5.65499051371183e-05,5.65091914800312e-05,5.65091914800312e-05,5.64132332816493e-05,5.63340564661541e-05,5.61819759188073e-05,5.5871448094229e-05,5.58606353880504e-05,5.57212854536042e-05,5.57212854536042e-05,5.46730813287475e-05,5.33088660437689e-05,5.21180451910191e-05,4.02540691167434e-05,3.13563351895627e-05,2.47993395620678e-05,1.93985413466583e-05,1.52234158332476e-05,0
