IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
TCD10736,Unknown,0.161764706,0.146110057,0.127896411,0.117181541,0.111111111,0.092105263,0.082272361,0.080645161,0.063508065,0.058823529,0.046256684,0.043185584,0.030076888,0.028577261,0.016397849,0.015504808,0.01282262,0.011904762,0.006024096,0.02677508,0.034979757,0.025490196,0.013862179,0.014919886,0.0133125,0,0.012828947,0,0,0,0,0,0,0,0,0,0,0,0.394412703,0.377211992,0.358270125,0.354051724,0.327729885,0.328308495,0.298512309,0.275831202,0.254468363,0.277307692,0.254140787,0.245614035,0.218110368,0.212583138,0.20125,0.178969786,0.230797101,0.196803279,0.152791314
MOZ33218,Unknown,0.150949367,0.132122507,0.130305603,0.122807018,0.111111111,0.102318046,0.089418977,0.07968254,0.064004096,0.060619977,0.052177858,0.043478261,0.03030303,0.028370221,0.026491228,0.014389234,0.01273937,0.012048193,0.006097561,0.035714286,0.015725806,0.0128125,0.01347688,0.013928571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507292836,0.471136962,0.425846651,0.485022355,0.469152462,0.451449607,0.482751623,0.41548087,0.413555556,0.405650995,0.422994792,0.397343621,0.355526316,0.344799107,0.348622312,0.33978739,0.33442029,0.295161058,0.273443337
ZWE52910,Unknown,0.161527514,0.143717728,0.135566321,0.12221432,0.111111111,0.092665474,0.086716792,0.075757576,0.068493151,0.058823529,0.052631579,0.037974684,0.032822168,0.028991597,0.018524871,0.016530055,0.015151515,0,0.006097561,0.028715415,0.030746269,0.015833333,0.016362394,0.012987013,0.013320513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469701533,0.432325708,0.413769231,0.447857487,0.407271934,0.386227679,0.375094697,0.34947619,0.358490566,0.318291789,0.306577208,0.286071429,0.253526382,0.220895447,0.243505446,0.219343791,0.188768116,0.158747412,0.136363636
COD14302,Unknown,0.175492611,0.153194263,0.152542373,0.147058824,0.11942959,0.118644068,0.103006189,0.090097403,0.074813433,0.077422577,0.063651083,0.055555556,0.042253521,0.044211041,0.032258065,0.028991597,0.027027027,0.014925373,0.00617284,0.026761187,0.016659836,0.015586488,0.014084507,0,0.013175676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53047829,0.476229508,0.493438681,0.492313433,0.444509804,0.443276127,0.448309588,0.426820896,0.407421875,0.397212998,0.369131161,0.377507862,0.328404018,0.338914027,0.298661161,0.291950758,0.272579365,0.276604864,0.221080508
NGA36946,Unknown,0.14084507,0.137241055,0.127777778,0.120847024,0.107692308,0.098192771,0.078278186,0.08,0.07194617,0.061257036,0.046875,0.046886447,0.032522475,0.027222222,0.018350168,0.016671298,0.013986698,0.013888889,0.00625,0.028878154,0.030675676,0,0.016380432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493981481,0.394868421,0.376915323,0.422633596,0.368734336,0.408223684,0.350131579,0.328610792,0.28344697,0.261666667,0.259122386,0.229845861,0.231884058,0.208040309,0.161830177,0.17917232,0.147132353,0.152958333,0.084791626
COD14010,Unknown,0.165422886,0.14389234,0.135978428,0.1257464,0.116133866,0.101724138,0.088607595,0.068620527,0.06993349,0.065681622,0.049590164,0.037049743,0.032522475,0.029877369,0.027973396,0.016393443,0.015182885,0.015749008,0.00625,0.015384615,0.015151515,0,0.013509009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828205008,0.84057971,0.838383308,0.834221311,0.85915493,0.831749729,0.849561065,0.830833333,0.830779221,0.840849001,0.803170119,0.803016749,0.807253672,0.820634921,0.797514119,0.808219178,0.781868004,0.797762148,0.764322917
MOZ33250,Unknown,0.155494505,0.142857143,0.129032258,0.117265088,0.115942029,0.094494048,0.081081081,0.077524038,0.070422535,0.061370482,0.052631579,0.041674706,0.03975079,0.032266458,0.017095266,0.015873016,0.014925373,0.014605544,0.00625,0.016949153,0.011746988,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436994548,0.412108886,0.371007274,0.412604167,0.36210815,0.315930451,0.328482587,0.298261353,0.266818182,0.255044563,0.220830508,0.234680009,0.200223881,0.196517857,0.18754223,0.132468775,0.121306818,0.134348528,0.079435747
GHA21585,Unknown,0.166596594,0.141025641,0.138461538,0.125880282,0.111111111,0.095238095,0.08452381,0.082191781,0.071428571,0.057971014,0.053588517,0.042261905,0.035423197,0.032522475,0.018706294,0.015625,0.015625,0.014492754,0.006329114,0.024798729,0.015625,0.015234375,0.014285714,0.011890244,0.012496142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470145517,0.394507576,0.384859155,0.386227679,0.371666667,0.334191176,0.333802817,0.355669234,0.362138863,0.333928571,0.298450764,0.29349645,0.254242898,0.221714154,0.239531785,0.245901639,0.228869801,0.191825011,0.12979798
COD14187,Unknown,0.159365079,0.133830846,0.130952381,0.118421053,0.112373737,0.09372549,0.08,0.076839827,0.069444444,0.051503095,0.047058824,0.039217362,0.028571429,0.018187831,0.017424242,0.014705882,0.014185111,0.00617284,0.006329114,0.015337838,0.027440476,0,0.014685458,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441605392,0.412797619,0.394943048,0.393035714,0.365198956,0.373551733,0.388263869,0.307106262,0.32454955,0.316686508,0.284724576,0.262660782,0.3,0.250416667,0.246756757,0.239339827,0.239285714,0.189221364,0.234765625
TZA46545,Unknown,0.165611814,0.142857143,0.131147541,0.121323529,0.109375,0.108533654,0.092105263,0.077524038,0.068493151,0.062019231,0.059714795,0.048486629,0.033333333,0.028571429,0.017246506,0.015384615,0.014492754,0.014495798,0.006410256,0.026088929,0.016628788,0.014285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481709677,0.414285714,0.456780376,0.444444444,0.402777778,0.366897089,0.369230769,0.322033898,0.324790102,0.274046365,0.27619431,0.257293233,0.25,0.217471228,0.222368421,0.210773512,0.18797123,0.183822464,0.169237288
