IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
TZA46636,Unknown,0.197169059,0.19047619,0.179144385,0.173333333,0.169491525,0.156017579,0.156288156,0.13772392,0.133429239,0.137802071,0.116412573,0.098591549,0.102006689,0.092820513,0.087595908,0.079944646,0.067117117,0.060619977,0.046153846,0.015792646,0.01369863,0,0.012037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60047619,0.533492063,0.577760312,0.559921434,0.542784148,0.534729697,0.517616796,0.507974684,0.480787037,0.418247,0.428816047,0.466571618,0.442985948,0.424298128,0.400714286,0.380032468,0.352133389,0.333955224,0.338482143
TZA46530,Unknown,0.157894737,0.146666667,0.142857143,0.13334065,0.107417582,0.106060606,0.090909091,0.08015839,0.072035655,0.056349206,0.045454545,0.038961039,0.03030303,0.027973396,0.016133229,0.015772479,0.01242284,0.012820513,0,0.018130499,0.019140625,0.017234074,0.0121875,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.445402299,0.436717986,0.448318966,0.409974779,0.397061012,0.3646261,0.334913793,0.346600791,0.298915146,0.290049342,0.292251712,0.255602837,0.270376259,0.242503987,0.212561425,0.21994863,0.228875661,0.200479452
TZA46525,Unknown,0.323943662,0.302579365,0.295774648,0.272727273,0.270130827,0.264536849,0.23880597,0.227560414,0.220588235,0.220050215,0.201449275,0.191780822,0.18046133,0.172604167,0.160357143,0.152338256,0.144832189,0.134463277,0.118912019,0.090909091,0.098062133,0.088005308,0.093160494,0.081070183,0.094873272,0.083035714,0.079304029,0.074169645,0.075888868,0.077642463,0.065383702,0.064418377,0.074060458,0.065496926,0.056211629,0.066408451,0.048367896,0.068886116,0.551472651,0.515151515,0.547639745,0.500186567,0.48218606,0.457905191,0.475409836,0.453272285,0.435483871,0.445,0.421240602,0.367938641,0.344367859,0.333984375,0.29825216,0.292377049,0.303030303,0.241810345,0.175530244
TZA46527,Unknown,0.210526316,0.20640121,0.189189189,0.17832681,0.171428571,0.164056765,0.157518797,0.1375,0.124913375,0.138694639,0.115584416,0.103896104,0.098476103,0.083333333,0.07874504,0.070422535,0.058397272,0.050905953,0.04265833,0.036274218,0.040540541,0.035016978,0.028159233,0.014925373,0.015572213,0.013732394,0,0,0,0,0,0,0,0,0,0,0,0,0.577115385,0.535943889,0.58735119,0.562522007,0.523995536,0.465697492,0.467729402,0.477083333,0.448318966,0.450764745,0.44625,0.415164742,0.446887575,0.403066698,0.413896037,0.413955522,0.386719577,0.402904365,0.349198957
TZA46487,Unknown,0.163170633,0.142857143,0.145454545,0.135364178,0.119816587,0.107142857,0.091608392,0.078651685,0.067567568,0.068968798,0.044446883,0.047619048,0.033078185,0.026671408,0.025320513,0.016817411,0.015154994,0.014084507,0,0.025641026,0.012658228,0.0125,0.012492378,0.012341772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.468807732,0.463619403,0.443146236,0.409947307,0.45,0.403225806,0.364791356,0.375407609,0.375094697,0.333712121,0.315068493,0.298653472,0.283032948,0.291013413,0.281790744,0.25078125,0.238302277,0.181818182
TZA46526,Unknown,0.15942029,0.149206102,0.139406208,0.125030525,0.111893584,0.105969551,0.098591549,0.086607143,0.063164894,0.064516129,0.049691358,0.041539343,0.031746032,0.026013514,0.026846847,0.016129032,0.015625,0.01369863,0,0.015860806,0.017502089,0.014705882,0.015854978,0.014130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4805,0.423591549,0.446737596,0.417467949,0.415833333,0.390557249,0.404761905,0.382716049,0.32407754,0.353663227,0.357707957,0.292307692,0.315982972,0.352294234,0.294159072,0.258702791,0.265050261,0.277795359,0.21217711
TZA46528,Unknown,0.280625,0.257881773,0.253521127,0.240407965,0.239971474,0.215384615,0.212121212,0.192381639,0.190065681,0.177521008,0.171052632,0.153846154,0.144009217,0.136083053,0.12294197,0.118912019,0.108108108,0.091431557,0.078125,0.080919726,0.085465368,0.076811594,0.066666667,0.069024123,0.052452153,0.064196329,0.046086957,0.045421123,0.033775485,0.048313783,0.029839772,0.028699466,0.03169865,0.02739726,0.023948521,0.014705882,0.015337838,0.040757457,0.514319196,0.457724902,0.475607923,0.46302682,0.397516968,0.402534299,0.365595238,0.339397321,0.338235294,0.33824095,0.313647862,0.287604167,0.305149935,0.276315789,0.24365942,0.234436678,0.209210795,0.203389831,0.129067321
TZA46529,Unknown,0.383891547,0.365079365,0.333333333,0.330952381,0.334141791,0.314677104,0.283702213,0.3,0.297010131,0.273960364,0.276923077,0.242795233,0.239417989,0.242179863,0.227540921,0.208112875,0.198360656,0.191176471,0.172380952,0.083234127,0.0640625,0.061728395,0.054463869,0.047547974,0.051550437,0.030280749,0.016602113,0.014552239,0.013732394,0.014275794,0,0,0,0,0,0,0,0,0.732546046,0.710724638,0.702827443,0.731537962,0.712824119,0.714484127,0.71653115,0.699052574,0.7163831,0.657613748,0.687995427,0.710187915,0.703602431,0.679597484,0.667361111,0.6576062,0.686567164,0.683457792,0.65016791
TZA46531,Unknown,0.177419355,0.151731355,0.152146465,0.140735035,0.120240964,0.112701613,0.103896104,0.085110664,0.079156224,0.069809942,0.049590164,0.041666667,0.028985507,0.032574153,0.019609701,0.026153846,0.014389234,0.01369863,0,0.016122632,0.014700554,0.014643113,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53040724,0.515009009,0.527916667,0.49153237,0.544457014,0.507719298,0.431538462,0.453719952,0.453047896,0.451273047,0.450190678,0.435989179,0.385144928,0.392956349,0.400294118,0.372610294,0.36263587,0.32953232,0.311867118
TZA46490,Unknown,0.203125,0.179487179,0.170460048,0.15625,0.151515152,0.151100042,0.123986342,0.125,0.110023041,0.099295775,0.087633262,0.075774971,0.061072261,0.047631048,0.040540541,0.047270471,0.031009615,0.027777778,0.028571429,0.018124098,0.015814028,0.01692865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516809701,0.526464346,0.5005,0.479534719,0.466143461,0.43333568,0.439393939,0.415616438,0.428690476,0.410836039,0.42118808,0.374575201,0.383040019,0.388438854,0.334051724,0.315506088,0.293692308,0.308830214,0.291708333
