"Population","shapeRisk","v_to_h","aImp","aImp_2000","aImp_2001","aImp_2002","aImp_2003","aImp_2004","aImp_2005","aImp_2006","aImp_2007","aImp_2008","aImp_2009","aImp_2010","aImp_2011","aImp_2012","aImp_2013","aImp_2014","aImp_2015","aImp_2016","aImp_2017","aImp_2018","aImp_2019","aImp_2020"
1006,0.154712,12.6359,1.70502e-05,1.70502e-05,1.70502e-05,1.70502e-05,1.70502e-05,1.70502e-05,1.70292655514097e-05,1.69845084872753e-05,1.69232890503501e-05,1.69018033399084e-05,1.68431526204625e-05,1.68324127060585e-05,1.67838319578245e-05,1.64697054817876e-05,1.61515801730247e-05,1.27781922188627e-05,1.21925358910628e-05,1.21130618138166e-05,9.58022350160017e-06,7.47846037820229e-06,5.76336880817187e-06,0
1113,0.0761348,11.4678,5.04508e-05,5.04508e-05,5.04508e-05,5.04508e-05,5.04508e-05,5.04508e-05,5.03888558774127e-05,5.02564216718766e-05,5.00752760214781e-05,5.00117007390559e-05,4.98381558119218e-05,4.98063768724599e-05,4.96626285520293e-05,4.87331419760805e-05,4.77918230280721e-05,3.78101148370929e-05,3.60771832431779e-05,3.58420229062709e-05,2.83474645361656e-05,2.21284388950633e-05,1.70535575575253e-05,0
630,0.640756,17.0541,6.50162e-05,6.50162e-05,6.50162e-05,6.50162e-05,6.50162e-05,6.50162e-05,6.49363722973082e-05,6.47657036697746e-05,6.4532260357965e-05,6.44503305713806e-05,6.42266823499146e-05,6.41857286706104e-05,6.4000479486241e-05,6.28026454554783e-05,6.15895629872616e-05,4.87260853796451e-05,4.64928477085616e-05,4.61897953982631e-05,3.65315202886029e-05,2.85170306296276e-05,2.19770054958807e-05,0
556,0.606999,35.0113,0.000128706,0.000128706,0.000128706,0.000128706,0.000128706,0.000128706,0.000128547973165109,0.000128210117732534,0.000127747993602091,0.000127585805484173,0.0001271430717041,0.00012706199984434,0.000126695280757044,0.000124324049790557,0.00012192263303359,9.64581065161082e-05,9.20371916103699e-05,9.14372695809482e-05,7.23177585011878e-05,5.64522833419493e-05,4.35056565802495e-05,0
970,0.149025,19.6292,7.7706e-05,7.7706e-05,7.7706e-05,7.7706e-05,7.7706e-05,7.7706e-05,7.76105916023181e-05,7.7406612034593e-05,7.71276054794963e-05,7.70296847151895e-05,7.67623850468416e-05,7.67134380674116e-05,7.6492032123653e-05,7.50604059874831e-05,7.36105552383583e-05,5.82363963213891e-05,5.55672774484127e-05,5.52050756767917e-05,4.36617076289629e-05,3.40829575106795e-05,2.62664564995017e-05,0
1037,0.846,15.8184,0.000139872,0.000139872,0.000139872,0.000139872,0.000139872,0.000139872,0.000139700263410798,0.000139333097038872,0.000138830880931049,0.000138654622043124,0.000138173478512236,0.000138085373193383,0.000137686839075484,0.00013510988992203,0.000132500136183817,0.000104826412712858,0.00010002195752277,9.93699887404347e-05,7.85917479921537e-05,6.13498498563015e-05,4.72800273273402e-05,0
652,0.852104,1.99556,0.000230936,0.000230936,0.000230936,0.000230936,0.000230936,0.000230936,0.000230652453893817,0.000230046242977643,0.000229217057872146,0.000228926045213844,0.000228131652036875,0.000227986185539543,0.000227328184831389,0.000223073506770718,0.000218764666621953,0.000173073899324072,0.000165141492096191,0.000164065057479417,0.000129759093416238,0.000101291816277846,7.80618021538738e-05,0
651,0.94291,12.5424,0.000249375,0.000249375,0.000249375,0.000249375,0.000249375,0.000249375,0.000249068814259234,0.000248414200655376,0.000247518809570038,0.000247204561113046,0.000246346739904977,0.000246189658688657,0.00024547912015592,0.000240884728890029,0.000236231850984037,0.000186892921172707,0.000178327153806629,0.000177164771663706,0.000140119660514923,0.00010937942410143,8.42946180418917e-05,0
710,0.0316308,3.02821,0.000131258,0.000131258,0.000131258,0.000131258,0.000131258,0.000131258,0.000131096839787623,0.000130752285311773,0.00013028099812148,0.000130115594115594,0.000129664081750165,0.000129581402386589,0.000129207411943562,0.000126789163888311,0.000124340131514638,9.837069091644e-05,9.386211751118e-05,9.32503001465052e-05,7.37516848114999e-05,5.75716268619768e-05,4.43682926313488e-05,0
584,0.215239,2.75779,0.000172949,0.000172949,0.000172949,0.000172949,0.000172949,0.000172949,0.000172736651056924,0.000172282656999084,0.000171661676576756,0.00017144373589951,0.000170848811307572,0.000170739870799176,0.000170247091135223,0.000167060743766623,0.000163833834168775,0.000129615814832676,0.000123675199694046,0.000122869053010391,9.71771635745181e-05,7.58578928076919e-05,5.84608316620636e-05,0
604,0.160213,12.6878,0.000100068,0.000100068,0.000100068,0.000100068,0.000100068,0.000100068,9.99451352593206e-05,9.96824550623845e-05,9.93231568363092e-05,9.91970567276604e-05,9.88528343611477e-05,9.87898015665424e-05,9.85046800832587e-05,9.66610648644308e-05,9.47939804081028e-05,7.49954920738265e-05,7.15582621638967e-05,7.10918270510025e-05,5.62265431114078e-05,4.38912489663433e-05,3.38253386996131e-05,0
630,0.209946,24.5585,4.93636e-05,4.93636e-05,4.93636e-05,4.93636e-05,4.93636e-05,4.93636e-05,4.93029907551565e-05,4.91734104680569e-05,4.89961684534999e-05,4.89339631998395e-05,4.87641581151812e-05,4.873306400258e-05,4.85924134164563e-05,4.7682957004655e-05,4.67619232049549e-05,3.69953179091772e-05,3.52997304848077e-05,3.50696377844552e-05,2.77365849575718e-05,2.16515775020485e-05,1.66860583746275e-05,0
610,0.558787,20.3733,4.97198e-05,4.97198e-05,4.97198e-05,4.97198e-05,4.97198e-05,4.97198e-05,4.9658753408346e-05,4.95282380902061e-05,4.93497171250542e-05,4.92870630080338e-05,4.91160326365011e-05,4.90847141536573e-05,4.89430486549507e-05,4.80270297482365e-05,4.70993499130071e-05,3.72622703243019e-05,3.55544478068565e-05,3.53226947936446e-05,2.7936727806997e-05,2.18078118914818e-05,1.68064623563679e-05,0
1428,0.383936,12.4491,0.000155587,0.000155587,0.000155587,0.000155587,0.000155587,0.000155587,0.00015539596833745,0.000154987549824032,0.000154428908369217,0.000154232846315371,0.00015369764499888,0.000153599640807587,0.000153156330296538,0.000150289853889977,0.000147386887214249,0.000116603945569917,0.000111259696759146,0.000110534477509137,8.7421744844252e-05,6.82426725119565e-05,5.25920671169275e-05,0
1902,0.369359,22.1704,0.000104662,0.000104662,0.000104662,0.000104662,0.000104662,0.000104662,0.000104533494688722,0.000104258755163881,0.000103882961993862,0.000103751072782812,0.000103391047586705,0.000103325121033272,0.000103026909969961,0.000101098656621908,9.91458565922459e-05,7.8438443772543e-05,7.48434148238973e-05,7.43555662430749e-05,5.88078352233098e-05,4.59062427480855e-05,3.53782188010044e-05,0
786,0.269829,13.4379,0.000156146,0.000156146,0.000156146,0.000156146,0.000156146,0.000156146,0.000155954281990265,0.000155544396092368,0.000154983747525306,0.000154786981050858,0.000154249856838907,0.00015415150053373,0.000153706597276657,0.00015082982206421,0.000147916425478711,0.000117022885491463,0.000111659435622215,0.000110931610771734,8.77358376371456e-05,6.84878578676364e-05,5.27810222707537e-05,0
801,0.863483,21.1555,0.000170479,0.000170479,0.000170479,0.000170479,0.000170479,0.000170479,0.000170269683753785,0.000169822173487831,0.000169210061701015,0.000168995233579914,0.000168408805502799,0.00016830142084645,0.000167815678897488,0.000164674837880474,0.000161494013930457,0.000127764684946775,0.000121908911694437,0.000121114278129151,9.57893116989417e-05,7.47745156546873e-05,5.76259135405059e-05,0
548,0.208792,13.8073,0.000102996,0.000102996,0.000102996,0.000102996,0.000102996,0.000102996,0.000102869540224337,0.000102599173977749,0.000102229362648524,0.000102099572837692,0.000101745278489235,0.000101680401348559,0.00010138693718127,9.94893775910073e-05,9.7567662050935e-05,7.71898679061822e-05,7.36520642946068e-05,7.31719812422058e-05,5.78717375614838e-05,4.51755114375974e-05,3.48150715983666e-05,0
541,0.165816,6.94249,0.000145914,0.000145914,0.000145914,0.000145914,0.000145914,0.000145914,0.000145734844967707,0.000145351818243322,0.000144827908088632,0.00014464403540952,0.00014414210809622,0.000144050196923896,0.000143634447472405,0.000140946182781994,0.000138223696459087,0.000109354561202985,0.000104342569706428,0.000103662438065315,8.19866471954867e-05,6.3999957045959e-05,4.93223655016124e-05,0
730,0.271192,17.0075,5.74808e-05,5.74808e-05,5.74808e-05,5.74808e-05,5.74808e-05,5.74808e-05,5.74102243555778e-05,5.72593362808281e-05,5.70529491293572e-05,5.69805150332904e-05,5.67827877178145e-05,5.67465805840639e-05,5.65828018440438e-05,5.55237971905042e-05,5.44513113986697e-05,4.30787152815806e-05,4.1104310626679e-05,4.08363821836477e-05,3.22975044897291e-05,2.52118969459226e-05,1.94298629804205e-05,0
742,0.25613,18.3285,6.36383e-05,6.36383e-05,6.36383e-05,6.36383e-05,6.36383e-05,6.36383e-05,6.35601641001441e-05,6.33931124834767e-05,6.31646165776881e-05,6.3084423143781e-05,6.28655147392276e-05,6.28254289986019e-05,6.26441058334577e-05,6.14716577143753e-05,6.02842843207116e-05,4.76934247036195e-05,4.55075164394683e-05,4.52108867711937e-05,3.57573012200374e-05,2.79126640793745e-05,2.15112428725226e-05,0
972,0.620889,9.19335,0.000134771,0.000134771,0.000134771,0.000134771,0.000134771,0.000134771,0.000134605526482331,0.000134251750321907,0.00013376784956216,0.00013359801866974,0.000133134421989909,0.000133049529788988,0.000132665529834721,0.000130182559587922,0.00012766798110865,0.000101003492248088,9.63742510102183e-05,9.57460589148444e-05,7.57255810215808e-05,5.91124786589425e-05,4.55557692957344e-05,0
2158,0.843738,0.978513,0.000182614,0.000182614,0.000182614,0.000182614,0.000182614,0.000182614,0.000182389784249166,0.000181910419402429,0.000181254736404303,0.000181024616433475,0.000180396445357423,0.000180281416869255,0.000179761098939963,0.000176396687244206,0.000172989446558793,0.000136859203637224,0.000130586605975915,0.000129735408972816,0.00010260776615648,8.00970993598335e-05,6.17278290891308e-05,0
2188,0.690025,10.3208,0.000168821,0.000168821,0.000168821,0.000168821,0.000168821,0.000168821,0.0001686137194669,0.000168170561479062,0.000167564402808716,0.000167351664006679,0.000166770939258138,0.000166664598975349,0.000166183581128191,0.000163073286479974,0.00015992339775429,0.000126522104642798,0.000120723281935996,0.000119936376609678,9.48577091039192e-05,7.4047293258055e-05,5.7065470526116e-05,0
2260,0.0484731,3.81029,0.000163227,0.000163227,0.000163227,0.000163227,0.000163227,0.000163227,0.000163026587849993,0.000162598114207018,0.000162012041021308,0.000161806351465862,0.000161244869431457,0.000161142052807111,0.000160676973817305,0.000157669740922437,0.000154624225927104,0.000122329707646145,0.000116723032919878,0.000115962202243015,9.17145336415814e-05,7.15936852443271e-05,5.51745668937297e-05,0
2116,0.197593,17.3899,9.2366e-05,9.2366e-05,9.2366e-05,9.2366e-05,9.2366e-05,9.2366e-05,9.22525918711517e-05,9.20101295548248e-05,9.16784856731676e-05,9.15620911950582e-05,9.12443628193006e-05,9.11861815115247e-05,9.09230051621925e-05,8.92212886963666e-05,8.74979093653798e-05,6.9223264389126e-05,6.60505900290851e-05,6.56200553363003e-05,5.18989175463514e-05,4.05130421515896e-05,3.12218814638892e-05,0
1797,0.185571,4.45662,0.000224831,0.000224831,0.000224831,0.000224831,0.000224831,0.000224831,0.000224554949689094,0.000223964764501449,0.000223157499646882,0.000222874180168851,0.000222100787487021,0.000221959166526835,0.000221318560656745,0.00021717635882135,0.000212981426721171,0.000168498535780174,0.000160775828842098,0.000159727850738537,0.000126328795561827,9.86140763915731e-05,7.59981684971491e-05,0
