IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
COD14286,Unknown,0.051282051,0.058497537,0.043478261,0.044466403,0.04494382,0.044117647,0.038461538,0.035714286,0.037523452,0.037974684,0.035299003,0.036585366,0.037268519,0.038218111,0.028169014,0.027402402,0.029198636,0.025316456,0.025316456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36812266,0.3749375,0.449501812,0.403472222,0.403383421,0.347100939,0.320319264,0.358846755,0.381939935,0.357878909,0.330714286,0.3390892,0.334493671,0.342687893,0.342857143,0.329010989,0.359063858,0.334090909,0.319108852
COD14287,Unknown,0.073529412,0.076923077,0.074264706,0.069444444,0.069444444,0.069444444,0.073350072,0.069444444,0.067117117,0.070422535,0.063291139,0.064102564,0.068493151,0.069444444,0.069444444,0.066666667,0.067579909,0.055555556,0.061257036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295774648,0.292971014,0.292067308,0.297092403,0.296875,0.303030303,0.274193548,0.287878788,0.25810641,0.226229839,0.224269498,0.221593074,0.241283043,0.267843204,0.251067073,0.261297244,0.253965228,0.250160256,0.276315789
COD14289,Unknown,0.054869788,0.054444444,0.047338936,0.045548833,0.040540541,0.036700337,0.036585366,0.030769231,0.032866379,0.030536131,0.03243338,0.027587519,0.024706421,0.025974026,0.025316456,0.015527203,0.013888889,0.012820513,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342786672,0.320281863,0.300955882,0.300357143,0.304763822,0.306857143,0.302942502,0.281839668,0.267915493,0.269571477,0.285307734,0.311432361,0.289265537,0.278653017,0.317049666,0.342302632,0.314696118,0.337325162,0.340503848
COD14291,Unknown,0.044786096,0.044211041,0.045376565,0.04109589,0.040818215,0.040284787,0.040547945,0.0375,0.036607143,0.037087912,0.029631255,0.025807526,0.025478741,0.025320513,0.016129032,0.019307832,0.013513514,0.013423423,0.014492754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205555556,0.218092105,0.234090909,0.222300469,0.20317508,0.212415197,0.197751323,0.191700201,0.200067568,0.180587121,0.183450704,0.18312639,0.194041551,0.197788698,0.208452869,0.191483516,0.211096491,0.208279221,0.208104296
COD14292,Unknown,0.066297857,0.0625,0.059714795,0.064102564,0.05371305,0.057641196,0.050007814,0.05801976,0.057142857,0.053333333,0.058147397,0.051948052,0.045454545,0.046966912,0.041960094,0.041666667,0.044117647,0.037980769,0.037974684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289656667,0.297713615,0.360485615,0.30552399,0.283550237,0.292442849,0.282936508,0.284249342,0.29702381,0.257913595,0.23762605,0.247284792,0.2995671,0.318957801,0.316103692,0.301369863,0.287878788,0.281790744,0.266666667
COD14293,Unknown,0.053812741,0.054794521,0.04485997,0.042857143,0.045115332,0.044117647,0.043478261,0.039480519,0.036844485,0.029857398,0.029411765,0.02439385,0.024096386,0.025974026,0.020753512,0.015512266,0.012820513,0.013072454,0.013891569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474044486,0.492819885,0.438229167,0.492934783,0.438991463,0.374707971,0.423076923,0.416666667,0.395061728,0.461156015,0.423970588,0.369230769,0.426229508,0.387982735,0.433333333,0.355932203,0.33375,0.314814815,0.363636364
COD14295,Unknown,0.075,0.073350072,0.066666667,0.064516129,0.058497537,0.064102564,0.056338028,0.052631579,0.055555556,0.054139194,0.048686549,0.044446883,0.045454545,0.042261905,0.043478261,0.038961039,0.037974684,0.03125,0.027587519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604416943,0.621954097,0.660626166,0.648867521,0.679543563,0.647640595,0.707405231,0.653925121,0.650416667,0.637518038,0.662820617,0.625924296,0.606170288,0.571517695,0.642043586,0.66686747,0.663311688,0.649139725,0.614176471
COD14296,Unknown,0.086956522,0.08974359,0.084507042,0.078947368,0.081081081,0.091309524,0.081081081,0.081395349,0.075949367,0.071428571,0.072711268,0.06622807,0.07435047,0.07281725,0.074085366,0.060240964,0.06779661,0.059701493,0.056740443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510983827,0.500559701,0.465359477,0.413766327,0.436727356,0.439243659,0.458059965,0.473706512,0.45530303,0.447337662,0.427821811,0.444114803,0.485758929,0.492069597,0.486951754,0.451714986,0.473161636,0.45757326,0.456118957
COD14298,Unknown,0.097560976,0.090909091,0.088607595,0.092307692,0.090909091,0.096230159,0.097930209,0.098765432,0.08825438,0.089552239,0.090909091,0.094594595,0.08825438,0.090629275,0.084337349,0.076436222,0.076923077,0.08045977,0.080171359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682876176,0.662422535,0.675478384,0.683988164,0.682721445,0.636688312,0.680857143,0.654310345,0.693905405,0.645553905,0.657881605,0.671067361,0.700166667,0.6805,0.720359375,0.698475801,0.631169276,0.631148268,0.657924641
COD14299,Unknown,0.05651341,0.055238095,0.042705167,0.051315789,0.04494382,0.043816631,0.042009401,0.033333333,0.037037037,0.03750586,0.035714286,0.029198636,0.038724184,0.039230769,0.03030303,0.027027027,0.029411765,0.028169014,0.025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452513543,0.467741935,0.484992898,0.467741935,0.423753197,0.471768894,0.46694664,0.44737013,0.495752473,0.516216216,0.4374749,0.416944349,0.394507042,0.407611833,0.36792273,0.378062036,0.398029789,0.379074279,0.388823529
