Random Generator,bet,02-2011,04-2011,06-2011,08-2011,10-2011,12-2011,02-2012,04-2012,06-2012,08-2012,10-2012,12-2012,02-2013,04-2013,06-2013,08-2013,10-2013,12-2013,02-2014,04-2014,06-2014,08-2014,10-2014,12-2014,02-2015,04-2015,06-2015,08-2015,10-2015,12-2015,02-2016,04-2016,06-2016,08-2016,10-2016,12-2016,02-2017,04-2017,06-2017,08-2017,10-2017,12-2017,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018,02-2019,04-2019,06-2019,08-2019,10-2019,12-2019
8311,0.154931663564639,0.34146341463414637,0.33877551020408164,0.3183673469387755,0.27530364372469635,0.31275720164609055,0.2979591836734694,0.3020408163265306,0.2550607287449393,0.24390243902439024,0.21721311475409835,0.199203187250996,0.22134387351778656,0.21653543307086615,0.16129032258064516,0.17338709677419356,0.16129032258064516,0.1446280991735537,0.1306122448979592,0.12601626016260162,0.11065573770491803,0.08298755186721991,0.0847457627118644,0.07659574468085106,0.08620689655172414,0.07860262008733625,0.06926406926406926,0.048034934497816595,0.03879310344827586,0.04329004329004329,0.05286343612334802,0.048034934497816595,0.05150214592274678,0.0641025641025641,0.060085836909871244,0.07327586206896551,0.0603448275862069,0.05726872246696035,0.07488986784140969,0.07589285714285714,0.07657657657657657,0.09545454545454546,0.1050228310502283,0.11009174311926606,0.13063063063063063,0.13392857142857142,0.15584415584415584,0.1565217391304348,0.17391304347826086,0.15584415584415584,0.11739130434782609,0.10775862068965517,0.11206896551724138,0.11016949152542373,0.11618257261410789
4640,0.124316878989339,0.3441295546558704,0.3724696356275304,0.39763779527559057,0.44,0.46215139442231074,0.41732283464566927,0.39453125,0.3058823529411765,0.27165354330708663,0.216,0.1732283464566929,0.14173228346456693,0.12648221343873517,0.10358565737051793,0.09881422924901186,0.109375,0.1062992125984252,0.10040160642570281,0.06882591093117409,0.06097560975609756,0.06172839506172839,0.0625,0.05416666666666667,0.049586776859504134,0.03305785123966942,0.020833333333333332,0.02092050209205021,0.016736401673640166,0.008403361344537815,0.00851063829787234,0.00851063829787234,0.00851063829787234,0.00425531914893617,0.0,0.008658008658008658,0.008695652173913044,0.008695652173913044,0.013215859030837005,0.021739130434782608,0.02666666666666667,0.02654867256637168,0.03056768558951965,0.021645021645021644,0.02586206896551724,0.02575107296137339,0.021367521367521368,0.021367521367521368,0.039301310043668124,0.048034934497816595,0.048458149779735685,0.05172413793103448,0.055793991416309016,0.05603448275862069,0.046610169491525424
8076,0.13968207189464002,0.351931330472103,0.3448275862068966,0.35064935064935066,0.37117903930131,0.33766233766233766,0.35064935064935066,0.33189655172413796,0.2672413793103448,0.26582278481012656,0.27800829875518673,0.24793388429752067,0.2396694214876033,0.19591836734693877,0.15918367346938775,0.1417004048582996,0.13095238095238096,0.12301587301587301,0.1220472440944882,0.11023622047244094,0.11507936507936507,0.10483870967741936,0.08906882591093117,0.08264462809917356,0.06722689075630252,0.05063291139240506,0.025423728813559324,0.02109704641350211,0.029288702928870293,0.02880658436213992,0.037815126050420166,0.037815126050420166,0.038461538461538464,0.042735042735042736,0.03418803418803419,0.042735042735042736,0.05531914893617021,0.05531914893617021,0.0641025641025641,0.058577405857740586,0.05982905982905983,0.06751054852320675,0.05394190871369295,0.06751054852320675,0.0603448275862069,0.056768558951965066,0.05603448275862069,0.06956521739130435,0.0811965811965812,0.06751054852320675,0.0635593220338983,0.06926406926406926,0.06607929515418502,0.05286343612334802,0.04721030042918455
2544,0.10042286840616699,0.33755274261603374,0.37815126050420167,0.34854771784232363,0.3138075313807531,0.27615062761506276,0.26666666666666666,0.25206611570247933,0.205761316872428,0.1721311475409836,0.14344262295081966,0.09836065573770492,0.09053497942386832,0.09053497942386832,0.07851239669421488,0.058333333333333334,0.045454545454545456,0.0371900826446281,0.03734439834024896,0.029661016949152543,0.02531645569620253,0.025423728813559324,0.03361344537815126,0.037815126050420166,0.03389830508474576,0.025423728813559324,0.02100840336134454,0.016666666666666666,0.01639344262295082,0.01646090534979424,0.02032520325203252,0.024291497975708502,0.02857142857142857,0.048,0.072,0.07630522088353414,0.09090909090909091,0.099601593625498,0.09523809523809523,0.09881422924901186,0.09881422924901186,0.10505836575875487,0.07874015748031496,0.07171314741035857,0.07228915662650602,0.07171314741035857,0.08764940239043825,0.07874015748031496,0.07307692307692308,0.06060606060606061,0.05343511450381679,0.038461538461538464,0.038461538461538464,0.042801556420233464,0.05363984674329502
8684,0.19379502581432503,0.472,0.48559670781893005,0.4691358024691358,0.43388429752066116,0.41975308641975306,0.3347107438016529,0.2605042016806723,0.2217573221757322,0.17768595041322313,0.14644351464435146,0.11885245901639344,0.11475409836065574,0.1016260162601626,0.09349593495934959,0.09236947791164658,0.06882591093117409,0.05179282868525897,0.05668016194331984,0.055776892430278883,0.0625,0.05426356589147287,0.06614785992217899,0.051181102362204724,0.05555555555555555,0.056,0.056451612903225805,0.05555555555555555,0.051181102362204724,0.05426356589147287,0.050980392156862744,0.05,0.038461538461538464,0.03773584905660377,0.03435114503816794,0.03018867924528302,0.03409090909090909,0.03461538461538462,0.034482758620689655,0.041353383458646614,0.05263157894736842,0.05185185185185185,0.05090909090909091,0.05166051660516605,0.044444444444444446,0.04868913857677903,0.04460966542750929,0.045454545454545456,0.058365758754863814,0.05405405405405406,0.050387596899224806,0.05078125,0.06201550387596899,0.058823529411764705,0.07936507936507936
9099,0.13194159504491804,0.29218106995884774,0.3073770491803279,0.29918032786885246,0.2938775510204082,0.2938775510204082,0.291497975708502,0.2764227642276423,0.2289156626506024,0.21285140562248997,0.2134387351778656,0.2196078431372549,0.2595419847328244,0.22957198443579765,0.19607843137254902,0.17120622568093385,0.1724137931034483,0.18250950570342206,0.18007662835249041,0.20454545454545456,0.20599250936329588,0.20522388059701493,0.20676691729323307,0.19548872180451127,0.17883211678832117,0.14814814814814814,0.15384615384615385,0.13503649635036497,0.13382899628252787,0.11567164179104478,0.12030075187969924,0.12075471698113208,0.0946969696969697,0.0842911877394636,0.10384615384615385,0.09885931558935361,0.12167300380228137,0.11787072243346007,0.11494252873563218,0.10344827586206896,0.08139534883720931,0.08949416342412451,0.08949416342412451,0.07003891050583658,0.047058823529411764,0.05138339920948617,0.06666666666666667,0.0694980694980695,0.06870229007633588,0.05384615384615385,0.046875,0.043137254901960784,0.05905511811023622,0.050980392156862744,0.045283018867924525
6987,0.16586264263605702,0.4251968503937008,0.4117647058823529,0.4235294117647059,0.4269230769230769,0.42857142857142855,0.44921875,0.39763779527559057,0.3861003861003861,0.3346153846153846,0.3151750972762646,0.2980392156862745,0.28793774319066145,0.265625,0.22178988326848248,0.18007662835249041,0.12890625,0.1383399209486166,0.12156862745098039,0.11952191235059761,0.12301587301587301,0.1111111111111111,0.09716599190283401,0.10245901639344263,0.07539682539682539,0.09523809523809523,0.09523809523809523,0.10040160642570281,0.108,0.1141732283464567,0.136,0.12350597609561753,0.10080645161290322,0.08267716535433071,0.07392996108949416,0.07480314960629922,0.06692913385826772,0.06274509803921569,0.05138339920948617,0.02834008097165992,0.020161290322580645,0.00819672131147541,0.004081632653061225,0.0,0.0,0.0,0.0,0.0,0.0,0.004048582995951417,0.008097165991902834,0.0163265306122449,0.020242914979757085,0.02834008097165992,0.0326530612244898
5907,0.101376676029759,0.29338842975206614,0.3153526970954357,0.30327868852459017,0.27530364372469635,0.27419354838709675,0.2620967741935484,0.24,0.23107569721115537,0.16532258064516128,0.10526315789473684,0.0963855421686747,0.072,0.048582995951417005,0.044897959183673466,0.053061224489795916,0.05785123966942149,0.06611570247933884,0.06198347107438017,0.04878048780487805,0.04819277108433735,0.027777777777777776,0.03225806451612903,0.03278688524590164,0.036734693877551024,0.03319502074688797,0.02074688796680498,0.012658227848101266,0.012658227848101266,0.012552301255230125,0.00851063829787234,0.008403361344537815,0.008583690987124463,0.008583690987124463,0.00851063829787234,0.012658227848101266,0.012658227848101266,0.012552301255230125,0.012552301255230125,0.012552301255230125,0.0125,0.008368200836820083,0.012295081967213115,0.012295081967213115,0.008130081300813009,0.008264462809917356,0.00823045267489712,0.00823045267489712,0.012195121951219513,0.024896265560165973,0.024390243902439025,0.020080321285140562,0.03137254901960784,0.031746031746031744,0.039525691699604744
1379,0.108152233058354,0.19665271966527198,0.18803418803418803,0.19742489270386265,0.19327731092436976,0.2033898305084746,0.2,0.189873417721519,0.20253164556962025,0.17916666666666667,0.15767634854771784,0.14634146341463414,0.12244897959183673,0.11646586345381527,0.11155378486055777,0.08333333333333333,0.06772908366533864,0.051181102362204724,0.03529411764705882,0.02766798418972332,0.024193548387096774,0.012145748987854251,0.007936507936507936,0.008064516129032258,0.004,0.00819672131147541,0.008032128514056224,0.004132231404958678,0.004098360655737705,0.012,0.008,0.012,0.019762845849802372,0.023255813953488372,0.027237354085603113,0.02702702702702703,0.026717557251908396,0.022727272727272728,0.018867924528301886,0.018796992481203006,0.017921146953405017,0.014545454545454545,0.007272727272727273,0.0036363636363636364,0.007380073800738007,0.007407407407407408,0.018315018315018316,0.01845018450184502,0.01486988847583643,0.011111111111111112,0.011152416356877323,0.01532567049808429,0.015267175572519083,0.0149812734082397,0.011111111111111112
405,0.18088997947634197,0.43209876543209874,0.43548387096774194,0.39344262295081966,0.3861788617886179,0.36213991769547327,0.40082644628099173,0.3497942386831276,0.2880658436213992,0.2967479674796748,0.225,0.24789915966386555,0.24786324786324787,0.20689655172413793,0.17316017316017315,0.1888412017167382,0.17567567567567569,0.17488789237668162,0.15246636771300448,0.15,0.13122171945701358,0.1085972850678733,0.08482142857142858,0.08035714285714286,0.0752212389380531,0.06167400881057269,0.07423580786026202,0.06521739130434782,0.08733624454148471,0.09691629955947137,0.10666666666666667,0.09251101321585903,0.07929515418502203,0.06637168141592921,0.07111111111111111,0.07174887892376682,0.07894736842105263,0.07079646017699115,0.06140350877192982,0.043859649122807015,0.04291845493562232,0.0423728813559322,0.04700854700854701,0.0423728813559322,0.0423728813559322,0.037815126050420166,0.037815126050420166,0.029288702928870293,0.037037037037037035,0.036885245901639344,0.03347280334728033,0.03404255319148936,0.029661016949152543,0.025974025974025976,0.029661016949152543
