IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018
ETH19205,Unknown,0.068493151,0.0625,0.058397272,0.053333333,0.048289934,0.042253521,0.044949495,0.036474501,0.029850746,0.030536131,0.027973396,0.027222222,0.015384615,0.024845679,0.016393443,0.013333333,0.012121657,0,0.005263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31884058,0.317234577,0.299253731,0.328881279,0.297297297,0.293565789,0.298733766,0.275715103,0.240790366,0.251144366,0.234986213,0.23515892,0.219051116,0.243225108,0.253045231,0.238740079,0.260664336,0.27454087,0.26755814
ETH18566,Unknown,0.077422577,0.08109589,0.07427108,0.064640769,0.057915921,0.05275974,0.048980408,0.044281046,0.038461538,0.029857398,0.027783137,0.026491228,0.025320513,0.015625,0.013888889,0.012987013,0.011834734,0,0.005263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442857143,0.386923077,0.432586619,0.370855263,0.4,0.44,0.364251337,0.372855633,0.381578947,0.388888889,0.359085192,0.420289855,0.453940299,0.492307692,0.424242424,0.444444444,0.394108095,0.432098765,0.43902439
COD14077,Unknown,0.154929577,0.15488792,0.153311966,0.139240506,0.141741071,0.116666667,0.104870385,0.086335404,0.07299659,0.057189542,0.054054054,0.044466403,0.0375,0.029198636,0.021132804,0.016817411,0.011111111,0.01183805,0.005263158,0.011890244,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52902381,0.514285714,0.486458333,0.493333333,0.419801428,0.403389954,0.356449938,0.34963701,0.351809587,0.342857143,0.397794118,0.35531015,0.348542199,0.371781411,0.387881944,0.407057931,0.426507353,0.41161548,0.410260695
MOZ33120,Unknown,0.108741554,0.105882353,0.107142857,0.093541667,0.084507042,0.081140351,0.073622403,0.056763285,0.045115332,0.042253521,0.040547945,0.032866379,0.029850746,0.025316456,0.019731801,0.014925373,0.014928699,0.013701201,0.005555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300945946,0.321125,0.289282269,0.328947368,0.289980491,0.304454545,0.303994361,0.298733766,0.300292208,0.263331866,0.246835038,0.333333333,0.273744912,0.307738095,0.265977799,0.263637771,0.291242733,0.286034115,0.307202381
COD14188,Unknown,0.083333333,0.076923077,0.087595908,0.084507042,0.090909091,0.080322581,0.066666667,0.056338028,0.051836095,0.044776119,0.037749288,0.03750586,0.039230769,0.028985507,0.024390244,0.025158228,0.014492754,0.014395195,0.005681818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348837511,0.333441558,0.333333333,0.337682318,0.310229925,0.352244987,0.295244601,0.305686937,0.289612759,0.308802817,0.343810096,0.313609835,0.333680556,0.317755517,0.280692308,0.297423004,0.312457748,0.3128125,0.312473817
NGA36837,Unknown,0.168859649,0.151530762,0.141196013,0.157835145,0.137585991,0.128508531,0.112701613,0.0875,0.076267906,0.056578105,0.047619048,0.039736842,0.03975079,0.031024531,0.027777778,0.014815628,0.014492754,0.013423423,0.005681818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51445674,0.514081473,0.525423729,0.515811298,0.500320513,0.461013158,0.444953052,0.400169492,0.344309584,0.349608793,0.367884615,0.371693548,0.389943901,0.392594937,0.402788978,0.4,0.429585538,0.461971831,0.439834495
MLI29986,Unknown,0.096385542,0.093028846,0.085582758,0.093028846,0.084770115,0.088235294,0.074264706,0.065362269,0.059701493,0.049078526,0.044776119,0.037749288,0.028985507,0.026491228,0.014605544,0.014185111,0.013513514,0,0.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319895833,0.325166834,0.347368421,0.333333333,0.316118421,0.300833333,0.304755163,0.260407748,0.233135876,0.256837979,0.2378125,0.236636905,0.247468474,0.222510823,0.253506849,0.257207792,0.228278481,0.2125306,0.216927711
SWZ45411,Unknown,0.110350076,0.114519906,0.108599509,0.108848575,0.115663322,0.043167702,0.064102564,0.058055275,0.060153777,0.05,0.046153846,0.0375,0.035088919,0.037037037,0.020238095,0.014705882,0.014815628,0.011363636,0.005813953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383508403,0.415611472,0.383850129,0.363043478,0.388206152,0.178082192,0.25455152,0.283077725,0.269728916,0.232278481,0.292941176,0.256837979,0.27354798,0.258320272,0.301772124,0.287594289,0.297199604,0.351658477,0.282317342
COD13909,Unknown,0.051948052,0.042253521,0.038961039,0.03125,0.027777778,0.027212144,0.024845679,0.025320513,0.024481266,0.025,0.024691358,0.015640274,0.015877016,0.014822134,0.015038444,0.014492754,0.012908061,0,0.006024096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349538352,0.344214221,0.297551717,0.267160088,0.307582504,0.326216216,0.361843373,0.373859155,0.357145468,0.368680223,0.319653349,0.299741408,0.265844298,0.255333333,0.218900966,0.26844974,0.247291733,0.254102885,0.26038961
COD13871,Unknown,0.049193548,0.041666667,0.039217362,0.038961039,0.038461538,0.028577261,0.037773202,0.029850746,0.030309989,0.028571429,0.024845679,0.018811713,0.014599318,0.014492754,0.014185111,0.006024096,0,0,0.006024096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313142679,0.259018393,0.224791667,0.248952331,0.260172508,0.287748644,0.28195028,0.263068756,0.222904855,0.227460797,0.196179104,0.20778703,0.263192964,0.259627093,0.269361439,0.280877175,0.234767512,0.294330495,0.247909699
