IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020
ERI17486,Non-endemic,0.00389,0.00382,0.00374,0.00368,0.00357,0.00346,0.00342,0.00331,0.00323,0.00314,0.003,0.00282,0.00261,0.00238,0.00216,0.00195,0.00178,0.00157,0.00147,0.00138,0.00129,0.00038,0.00038,0.00038,0.00039,0.00038,0.00038,0.00038,0.00038,0.00039,0.00039,0.00038,0.00039,0.00039,0.00038,0.00039,0.00038,0.00038,0.00038,0.00038,0.00038,0.00038,0.01602,0.01524,0.01471,0.01456,0.0151,0.01399,0.01347,0.0127,0.01185,0.01139,0.011,0.01009,0.0092,0.00792,0.00706,0.00594,0.00525,0.00434,0.00438,0.00424,0.00419
SEN40192,Requiring PC,0.00885,0.00876,0.00868,0.00858,0.0085,0.00841,0.00831,0.00822,0.00815,0.00804,0.00783,0.00759,0.00728,0.0069,0.00645,0.00598,0.00522,0.00347,0.00241,0.00167,0.00114,0.00033,0.00033,0.00033,0.00034,0.00034,0.00033,0.00034,0.00033,0.00033,0.00034,0.00034,0.00034,0.00034,0.00033,0.00033,0.00033,0.00033,0.00032,0.00031,0.00031,0.00031,0.02993,0.02948,0.02903,0.02847,0.02794,0.02733,0.02675,0.02623,0.02582,0.02525,0.02432,0.02337,0.02223,0.02096,0.01948,0.01798,0.01595,0.01113,0.0082,0.00614,0.00456
SEN40186,Non-endemic,0.00705,0.00695,0.0068,0.00666,0.00653,0.00638,0.00622,0.00607,0.00589,0.00568,0.00545,0.00519,0.00488,0.00454,0.00417,0.00382,0.00348,0.00312,0.0029,0.00266,0.00243,0.00066,0.00066,0.00066,0.00066,0.00067,0.00066,0.00066,0.00066,0.00066,0.00067,0.00067,0.00066,0.00066,0.00067,0.00067,0.00067,0.00066,0.00066,0.00066,0.00065,0.00065,0.02842,0.02789,0.02698,0.02668,0.02601,0.02492,0.02416,0.02338,0.02246,0.02137,0.0204,0.01916,0.01796,0.01661,0.01518,0.01368,0.01244,0.01109,0.01047,0.00978,0.00916
TCD10711,Non-endemic,0.00471,0.0045,0.00434,0.00411,0.00396,0.00374,0.00349,0.00322,0.00301,0.00278,0.00259,0.00244,0.00227,0.00201,0.00184,0.00164,0.00145,0.00126,0.00135,0.00143,0.00148,0.00121,0.00122,0.00121,0.00122,0.00121,0.00121,0.00121,0.00122,0.00121,0.00122,0.00122,0.00123,0.00123,0.00124,0.00124,0.00124,0.00123,0.00123,0.00123,0.00123,0.00124,0.02446,0.0237,0.02255,0.02022,0.01939,0.01779,0.01626,0.01491,0.01394,0.01337,0.01236,0.01158,0.01083,0.00944,0.00867,0.00761,0.00637,0.0044,0.00613,0.00642,0.00666
SDN53242,Requiring PC,0.0131,0.01303,0.01296,0.0129,0.01282,0.01273,0.01263,0.01252,0.01238,0.01222,0.01207,0.01192,0.01175,0.01156,0.01135,0.01098,0.01054,0.01003,0.00953,0.009,0.00845,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00024,0.00023,0.00024,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.06003,0.05969,0.05936,0.05894,0.05862,0.05836,0.05798,0.05752,0.05699,0.05633,0.05585,0.05526,0.05467,0.05393,0.05325,0.05116,0.04886,0.04647,0.04406,0.04154,0.03902
TCD10742,Non-endemic,0.00779,0.00763,0.00749,0.00728,0.00718,0.00697,0.00673,0.00649,0.00629,0.00605,0.0058,0.00561,0.00537,0.00509,0.00485,0.00464,0.00439,0.00418,0.00416,0.00412,0.00412,0.00106,0.00106,0.00106,0.00107,0.00106,0.00106,0.00106,0.00107,0.00106,0.00107,0.00107,0.00108,0.00108,0.00109,0.00109,0.00108,0.00108,0.00108,0.00108,0.00107,0.00109,0.03664,0.0351,0.03388,0.03326,0.03227,0.03091,0.03034,0.02954,0.02871,0.02731,0.02671,0.02583,0.02491,0.02387,0.02299,0.02204,0.0213,0.02039,0.02023,0.0199,0.01986
ERI17458,Non-endemic,0.00526,0.00508,0.00489,0.00469,0.00455,0.0044,0.00424,0.00406,0.00387,0.00366,0.0034,0.00311,0.00281,0.00253,0.00221,0.00194,0.00169,0.00141,0.00133,0.00123,0.00118,0.00098,0.00099,0.00099,0.00098,0.00098,0.00099,0.00098,0.00098,0.00097,0.00098,0.00099,0.00097,0.00098,0.00097,0.00098,0.00097,0.00096,0.00097,0.00096,0.00097,0.00096,0.02225,0.02189,0.0216,0.02043,0.02001,0.01906,0.01819,0.01699,0.01615,0.01469,0.01394,0.0124,0.01072,0.00951,0.00842,0.00722,0.00586,0.00433,0.00443,0.00456,0.00446
ERI17434,Non-endemic,0.00447,0.00435,0.00428,0.00418,0.00408,0.00396,0.00385,0.00372,0.00358,0.00342,0.00319,0.00296,0.0027,0.00246,0.00218,0.00195,0.0017,0.00147,0.00139,0.0013,0.00123,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071,0.00071,0.00072,0.00071,0.00072,0.00071,0.00071,0.00071,7E-04,0.00071,7E-04,0.00071,7E-04,0.01868,0.01858,0.01804,0.01776,0.01751,0.01672,0.01589,0.01536,0.01465,0.01348,0.01236,0.01117,0.00984,0.00862,0.00751,0.00655,0.00553,0.00418,0.00426,0.00425,0.00417
SEN40190,Requiring PC,0.01107,0.01088,0.01068,0.0105,0.01034,0.01008,0.00991,0.00967,0.00943,0.00916,0.00884,0.00843,0.00793,0.00743,0.00686,0.00626,0.00548,0.00479,0.00444,0.0041,0.00378,9E-04,9E-04,0.00091,0.00091,0.00091,0.00091,0.00091,0.00092,0.00092,0.00091,0.00091,0.00092,0.00091,0.00091,0.00091,0.00091,0.00091,9E-04,9E-04,0.00089,0.00089,0.04159,0.04088,0.03982,0.0389,0.03814,0.03699,0.03609,0.03519,0.03416,0.03309,0.03162,0.02983,0.02792,0.02603,0.02405,0.02201,0.01957,0.01737,0.0162,0.01527,0.01427
TCD10743,Non-endemic,0.00721,0.00704,0.0069,0.00667,0.00657,0.00634,0.00612,0.00587,0.00568,0.00543,0.00518,0.00499,0.00475,0.00448,0.00424,0.00402,0.00378,0.00358,0.00359,0.00357,0.00359,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00114,0.00115,0.00114,0.00115,0.00115,0.00116,0.00116,0.00117,0.00117,0.00116,0.00116,0.00116,0.00116,0.00115,0.00117,0.03283,0.03175,0.03052,0.02947,0.02872,0.02771,0.0267,0.0257,0.02479,0.02394,0.02289,0.02195,0.02095,0.02003,0.01891,0.01809,0.01737,0.01633,0.01661,0.01648,0.01665
ERI17432,Non-endemic,0.00357,0.00351,0.00347,0.00341,0.00336,0.00331,0.00327,0.0032,0.00312,0.00301,0.00288,0.00271,0.00255,0.00234,0.00214,0.00194,0.00178,0.00159,0.0015,0.00139,0.00129,0.00027,0.00026,0.00026,0.00027,0.00027,0.00027,0.00026,0.00026,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00026,0.00027,0.00027,0.00026,0.00026,0.00026,0.01233,0.01178,0.01186,0.01161,0.01187,0.01189,0.01159,0.01093,0.0107,0.01042,0.00972,0.00918,0.00834,0.00727,0.00636,0.00557,0.00501,0.00424,0.00416,0.00398,0.00393
MRT31054,Non-endemic,0.00696,0.00682,0.00669,0.00656,0.00646,0.00631,0.00616,0.00602,0.00585,0.00571,0.00552,0.00539,0.00517,0.00498,0.00478,0.00457,0.00436,0.00414,0.00408,0.00398,0.00387,0.00072,0.00072,0.00072,0.00072,0.00072,0.00073,0.00072,0.00073,0.00072,0.00073,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.00072,0.02675,0.0264,0.02565,0.02521,0.02459,0.02391,0.02327,0.02235,0.02167,0.02105,0.02034,0.01931,0.01849,0.01746,0.01655,0.01566,0.01479,0.01383,0.01387,0.01367,0.0136
MRT31057,Non-endemic,0.03373,0.03364,0.03356,0.03344,0.03334,0.03321,0.03308,0.03295,0.03278,0.03261,0.03235,0.03212,0.03184,0.03154,0.0312,0.03079,0.03038,0.02987,0.02881,0.02825,0.02773,0.00611,0.00616,0.00619,0.00622,0.00626,0.00631,0.00638,0.00641,0.00647,0.00654,0.00657,0.00658,0.0066,0.00659,0.00657,0.00648,0.00643,0.00633,0.00602,0.00578,0.00553,0.09584,0.09537,0.09465,0.09405,0.09332,0.09272,0.09211,0.09148,0.09084,0.09011,0.08922,0.08848,0.08766,0.08684,0.08587,0.08498,0.08405,0.08292,0.08086,0.08018,0.07988
MLI30007,Requiring PC,0.06028,0.06033,0.06031,0.0603,0.06019,0.06011,0.06,0.05979,0.05804,0.05592,0.03658,0.0262,0.0192,0.01839,0.01762,0.0168,0.015,0.00998,0.00666,0.00631,0.00592,0.01087,0.01115,0.01148,0.01169,0.01191,0.01217,0.0124,0.01256,0.01259,0.01247,0.00766,0.00465,0.00268,0.00251,0.00223,0.002,0.00159,0.00096,0.00079,0.00076,0.00075,0.16844,0.16799,0.16729,0.16698,0.16663,0.16633,0.16602,0.16557,0.16045,0.15466,0.10772,0.08125,0.06215,0.06085,0.0611,0.06115,0.05762,0.04147,0.03028,0.02984,0.02907
ERI17437,Non-endemic,0.00312,0.0031,0.00307,0.00306,0.00302,0.003,0.00298,0.00293,0.00287,0.00278,0.00266,0.00254,0.00239,0.0022,0.00202,0.00186,0.00171,0.00157,0.00145,0.00134,0.00125,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,5E-05,0.00986,0.01035,0.01007,0.00972,0.00936,0.00909,0.00923,0.00915,0.00916,0.00832,0.00807,0.00801,0.00733,0.00648,0.0057,0.00523,0.00471,0.00423,0.0041,0.00378,0.00359
MLI30011,Requiring PC,0.08007,0.0801,0.08017,0.08017,0.08018,0.0802,0.08014,0.07992,0.07745,0.07447,0.06583,0.04322,0.03064,0.02917,0.02799,0.02674,0.02399,0.02122,0.01418,0.00953,0.00649,0.01602,0.01621,0.01649,0.01672,0.01699,0.0173,0.01757,0.01759,0.01739,0.01712,0.01501,0.00932,0.00569,0.00516,0.00468,0.00419,0.00329,0.00263,0.00129,8E-04,0.00064,0.21961,0.21973,0.21968,0.21957,0.21978,0.21996,0.21978,0.21943,0.21309,0.20592,0.18634,0.13392,0.10109,0.09888,0.09918,0.09931,0.09375,0.08605,0.06261,0.0456,0.03368
ERI17465,Non-endemic,0.00374,0.00368,0.00361,0.00355,0.00345,0.00334,0.00331,0.00321,0.00314,0.00306,0.00292,0.00275,0.00256,0.00234,0.00213,0.00192,0.00175,0.00155,0.00146,0.00136,0.00128,0.00035,0.00035,0.00034,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00036,0.00035,0.00036,0.00035,0.00035,0.00035,0.00035,0.00035,0.00034,0.01492,0.01435,0.01383,0.01384,0.01398,0.01304,0.0124,0.01202,0.01132,0.01093,0.0103,0.00958,0.00885,0.00759,0.00682,0.00569,0.00502,0.00427,0.00426,0.00417,0.00407
ERI17431,Non-endemic,0.00351,0.00345,0.00342,0.00337,0.00334,0.00328,0.00325,0.00318,0.00312,0.00304,0.00291,0.00273,0.00255,0.00235,0.00215,0.00196,0.00179,0.00162,0.0015,0.0014,0.0013,2E-04,2E-04,2E-04,0.00021,0.00021,2E-04,0.00021,2E-04,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.01271,0.01238,0.0121,0.01202,0.01154,0.01133,0.011,0.01074,0.01041,0.01016,0.00966,0.00878,0.00787,0.00714,0.00624,0.00554,0.00488,0.00424,0.00412,0.00401,0.00382
ERI17479,Non-endemic,0.00499,0.00485,0.00472,0.00459,0.00445,0.00431,0.00416,0.00399,0.00385,0.00368,0.00343,0.00319,0.00292,0.00264,0.00234,0.0021,0.00186,0.00158,0.00148,0.00138,0.00131,0.00075,0.00076,0.00076,0.00075,0.00076,0.00075,0.00076,0.00075,0.00075,0.00076,0.00076,0.00076,0.00076,0.00076,0.00076,0.00075,0.00075,0.00075,0.00075,0.00075,0.00074,0.02172,0.02022,0.02038,0.01955,0.0194,0.0185,0.01724,0.01674,0.01551,0.0147,0.01375,0.01244,0.01121,0.00959,0.00856,0.00766,0.00647,0.00493,0.00522,0.00519,0.00491
SEN40191,Requiring PC,0.00488,0.00482,0.00477,0.00473,0.00468,0.00463,0.00458,0.00449,0.00441,0.00432,0.00419,0.00403,0.00383,0.00362,0.00336,0.00309,0.00269,0.00233,0.00215,0.00198,0.00182,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.01643,0.0161,0.01594,0.0156,0.01526,0.01501,0.01464,0.01441,0.01407,0.01377,0.01323,0.01269,0.01195,0.01126,0.01038,0.00948,0.00832,0.00727,0.0068,0.00635,0.00592
TCD10739,Non-endemic,0.00527,0.00513,0.00501,0.00482,0.00473,0.00455,0.00437,0.00418,0.00403,0.00385,0.00362,0.00349,0.00328,0.00304,0.00283,0.00265,0.00245,0.00228,0.00231,0.00234,0.00237,0.00104,0.00104,0.00104,0.00104,0.00105,0.00104,0.00105,0.00105,0.00105,0.00105,0.00105,0.00106,0.00106,0.00107,0.00107,0.00106,0.00106,0.00105,0.00106,0.00105,0.00106,0.02467,0.02425,0.02329,0.02189,0.02128,0.02021,0.01969,0.0187,0.01814,0.01738,0.01619,0.01544,0.01444,0.01334,0.01211,0.01136,0.01041,0.00943,0.00995,0.01009,0.01056
SDN53205,Requiring PC,0.01745,0.01729,0.01716,0.01696,0.01675,0.01654,0.01635,0.01611,0.01586,0.0156,0.01536,0.01507,0.0148,0.01447,0.01421,0.01367,0.01309,0.01241,0.01184,0.01123,0.01059,0.00096,0.00097,0.00097,0.00097,0.00097,0.00096,0.00096,0.00096,0.00098,0.00097,0.00097,0.00097,0.00097,0.00097,0.00097,0.00096,0.00095,0.00095,0.00095,0.00096,0.00095,0.08397,0.08336,0.08272,0.08213,0.08132,0.0807,0.07996,0.07905,0.07802,0.0771,0.07633,0.07567,0.07484,0.07389,0.07297,0.0696,0.0661,0.06268,0.05941,0.05608,0.05303
SEN40195,Non-endemic,0.0381,0.03802,0.03781,0.0377,0.0375,0.03729,0.03713,0.03689,0.03659,0.03626,0.0352,0.03388,0.03234,0.03074,0.02871,0.02667,0.02497,0.02296,0.02118,0.01973,0.01817,0.00378,0.00388,0.00396,0.00407,0.00417,0.00424,0.00432,0.00441,0.0045,0.00451,0.00452,0.00455,0.00448,0.00439,0.00424,0.00409,0.00391,0.00373,0.00336,0.00305,0.00281,0.12169,0.12076,0.11939,0.11832,0.11678,0.11584,0.11482,0.11372,0.11215,0.11083,0.10666,0.10175,0.0967,0.09155,0.08513,0.07912,0.07421,0.06853,0.06384,0.06038,0.05641
SDN53268,Unknown,0.00857,0.00843,0.00825,0.008,0.00782,0.00766,0.00747,0.00722,0.007,0.00676,0.00654,0.00628,0.00605,0.00578,0.00559,0.00531,0.00503,0.00467,0.0045,0.00429,0.00409,0.00108,0.0011,0.0011,0.00109,0.0011,0.00109,0.00109,0.00109,0.00111,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.00109,0.00108,0.00108,0.00108,0.00109,0.00107,0.04029,0.03865,0.03804,0.03708,0.03621,0.03493,0.03424,0.03292,0.03226,0.03078,0.02968,0.02871,0.02805,0.0271,0.02617,0.02467,0.02353,0.02201,0.02135,0.02045,0.01951
ERI17429,Non-endemic,0.00328,0.00324,0.00323,0.00319,0.00316,0.00314,0.0031,0.00306,0.003,0.00291,0.00281,0.00265,0.0025,0.00233,0.00214,0.00197,0.0018,0.00166,0.00154,0.00143,0.00132,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.01073,0.0104,0.01058,0.01028,0.01012,0.01033,0.01001,0.00975,0.00962,0.00908,0.00876,0.00813,0.00747,0.00669,0.00596,0.00534,0.00471,0.00424,0.00406,0.00387,0.00373
ERI17482,Non-endemic,0.00346,0.00342,0.00339,0.00335,0.00331,0.00327,0.00322,0.00317,0.0031,0.00299,0.00287,0.00272,0.00256,0.00236,0.00217,0.00198,0.00181,0.00164,0.00154,0.00142,0.00132,0.00022,0.00022,0.00022,0.00023,0.00022,0.00022,0.00022,0.00022,0.00023,0.00022,0.00022,0.00022,0.00023,0.00022,0.00023,0.00022,0.00023,0.00023,0.00022,0.00022,0.00022,0.012,0.01162,0.01163,0.01148,0.01167,0.01163,0.01122,0.01081,0.01063,0.01018,0.00952,0.00907,0.00823,0.00722,0.0064,0.0056,0.00506,0.00435,0.00426,0.00401,0.00392
ERI17484,Non-endemic,0.00439,0.00427,0.00416,0.00405,0.00394,0.00382,0.0037,0.00356,0.00345,0.0033,0.00308,0.00287,0.00265,0.00236,0.00208,0.00187,0.00167,0.00141,0.00133,0.00124,0.00117,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00066,0.00067,0.00066,0.00067,0.00066,0.00067,0.00066,0.00066,0.00066,0.00066,0.00066,0.00065,0.01895,0.01809,0.01769,0.01705,0.01669,0.01611,0.01556,0.01473,0.014,0.01363,0.01237,0.01163,0.01009,0.00871,0.00759,0.00641,0.0055,0.00423,0.0044,0.00423,0.00421
MLI29987,Under surveillance,0.12071,0.12082,0.12091,0.12101,0.12108,0.12119,0.12122,0.12116,0.08564,0.06356,0.0482,0.03643,0.02671,0.02588,0.02559,0.02525,0.02474,0.0234,0.022,0.02056,0.01913,0.02806,0.02855,0.02891,0.02927,0.02966,0.03003,0.03019,0.03032,0.01875,0.01228,0.00822,0.00546,0.00352,0.00325,0.00292,0.00261,0.00229,0.002,0.00172,0.0015,0.00133,0.30608,0.30561,0.30538,0.30496,0.30481,0.3049,0.30497,0.30452,0.23837,0.18986,0.15123,0.1191,0.09034,0.08922,0.09147,0.09368,0.09521,0.09228,0.08897,0.08514,0.0811
NER35325,Non-endemic,0.02171,0.02159,0.02153,0.02146,0.02137,0.02129,0.02118,0.02105,0.0209,0.02074,0.02058,0.02039,0.02016,0.01989,0.01964,0.01932,0.01859,0.01778,0.01702,0.0162,0.01536,0.00209,0.00211,0.00213,0.00217,0.00222,0.00228,0.00232,0.00236,0.00239,0.00241,0.00244,0.00248,0.0025,0.00249,0.00251,0.00249,0.00244,0.00239,0.00225,0.00211,0.00196,0.0741,0.07347,0.07301,0.0724,0.07178,0.07118,0.07051,0.06984,0.06922,0.06859,0.06798,0.06738,0.06663,0.06593,0.06511,0.06437,0.06206,0.05949,0.05744,0.05524,0.0531
SEN40189,Non-endemic,0.00486,0.0048,0.00473,0.00467,0.00461,0.00455,0.00448,0.00439,0.00429,0.00419,0.00406,0.00389,0.00369,0.00346,0.00319,0.00294,0.00268,0.00242,0.00223,0.00204,0.00186,0.00029,0.00029,0.00029,3E-04,3E-04,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,3E-04,0.00029,3E-04,3E-04,3E-04,0.00029,0.00029,0.00029,0.00029,0.01782,0.01745,0.01711,0.01689,0.01658,0.01616,0.01575,0.01519,0.01475,0.01428,0.01357,0.01295,0.01214,0.01115,0.01012,0.00917,0.00823,0.00734,0.0069,0.00644,0.00602
SEN40185,Requiring PC,0.00408,0.00402,0.00395,0.00391,0.00386,0.00379,0.00374,0.00365,0.00357,0.00348,0.00336,0.00323,0.00305,0.00287,0.00265,0.00242,0.00211,0.00184,0.00171,0.00157,0.00144,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00026,0.00027,0.00027,0.00026,0.00026,0.00026,0.00027,0.00027,0.00027,0.00027,0.00027,0.00026,0.00026,0.01458,0.01419,0.01403,0.01376,0.01335,0.01293,0.01266,0.01229,0.01197,0.01137,0.01095,0.01026,0.00959,0.00892,0.00814,0.00733,0.00657,0.00585,0.00556,0.00524,0.00492
MLI29984,Under surveillance,0.33006,0.33028,0.33047,0.33078,0.33103,0.3313,0.33165,0.33177,0.25841,0.24373,0.18871,0.14528,0.13528,0.13146,0.13129,0.13077,0.12207,0.11032,0.07432,0.05011,0.04826,0.09831,0.09933,0.10014,0.10097,0.1018,0.10247,0.10275,0.10296,0.06044,0.05399,0.03464,0.0235,0.02093,0.01933,0.01782,0.01632,0.01395,0.01179,0.00688,0.0041,0.00364,0.66818,0.66694,0.66564,0.66465,0.6637,0.66298,0.66268,0.66192,0.57625,0.55411,0.46744,0.38503,0.36325,0.3574,0.36285,0.36718,0.35007,0.32244,0.23165,0.16357,0.16042
SDN53257,Unknown,0.0176,0.01755,0.01748,0.01741,0.01734,0.01725,0.01717,0.01707,0.01693,0.01677,0.01662,0.01645,0.01628,0.01607,0.01585,0.01532,0.01471,0.01403,0.01332,0.01258,0.01183,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00014,0.00015,0.00015,0.00015,0.00015,0.00015,0.00014,0.00015,0.0927,0.09282,0.0926,0.09216,0.09186,0.0914,0.09084,0.09045,0.08981,0.08926,0.08864,0.08808,0.08744,0.08684,0.08599,0.08227,0.07794,0.07372,0.06959,0.06531,0.06125
SDN53247,Requiring PC,0.01195,0.01184,0.01171,0.01155,0.01142,0.01127,0.01113,0.01096,0.01077,0.01056,0.01036,0.01014,0.00993,0.00968,0.00947,0.00916,0.00878,0.00831,0.00793,0.0075,0.00706,0.00059,6E-04,6E-04,6E-04,6E-04,0.00059,0.00059,0.00059,6E-04,0.00059,0.00059,0.00059,0.00059,0.00059,0.00059,0.00058,0.00058,0.00058,0.00058,0.00059,0.00058,0.04647,0.04591,0.0451,0.04433,0.04359,0.04308,0.04241,0.0416,0.04075,0.03985,0.0389,0.03816,0.03731,0.03637,0.0356,0.03413,0.03265,0.03077,0.02943,0.02799,0.02654
ERI17456,Non-endemic,0.00446,0.00433,0.00421,0.00409,0.00398,0.0039,0.00377,0.00365,0.00348,0.00332,0.00312,0.00287,0.00263,0.00237,0.0021,0.00185,0.00165,0.0014,0.00133,0.00124,0.00117,0.00068,0.00068,0.00069,0.00068,0.00068,0.00068,0.00068,0.00068,0.00067,0.00067,0.00069,0.00068,0.00068,0.00068,0.00068,0.00067,0.00067,0.00067,0.00066,0.00067,0.00066,0.01711,0.01717,0.01661,0.01585,0.01565,0.01532,0.01476,0.01426,0.01339,0.0123,0.01164,0.0106,0.00944,0.00827,0.00736,0.00615,0.00537,0.00397,0.00397,0.00405,0.00378
SEN40193,Non-endemic,0.03892,0.03895,0.0389,0.03891,0.03892,0.03891,0.03887,0.03877,0.03864,0.03845,0.03731,0.036,0.03455,0.03297,0.03086,0.02875,0.02708,0.02509,0.02321,0.02177,0.02011,0.00454,0.00462,0.00469,0.00481,0.00488,0.00494,0.00503,0.00512,0.00516,0.0052,0.00518,0.00509,0.00497,0.0048,0.00456,0.00432,0.00408,0.00382,0.00348,0.00314,0.00282,0.11558,0.11522,0.1146,0.11416,0.11376,0.11328,0.11284,0.11233,0.11184,0.11117,0.10773,0.10397,0.09988,0.09574,0.08997,0.08431,0.08028,0.07503,0.07047,0.06727,0.06312
ERI17464,Non-endemic,0.00314,0.00311,0.0031,0.00308,0.00305,0.00303,0.003,0.00296,0.00293,0.00286,0.00277,0.00263,0.00248,0.00232,0.00215,0.00199,0.00184,0.0017,0.00158,0.00146,0.00135,7E-05,8E-05,8E-05,7E-05,7E-05,7E-05,8E-05,8E-05,7E-05,8E-05,8E-05,7E-05,7E-05,8E-05,7E-05,8E-05,8E-05,8E-05,8E-05,8E-05,8E-05,0.01035,0.01017,0.01006,0.00983,0.00957,0.00973,0.00939,0.00921,0.00916,0.00873,0.00849,0.00783,0.00724,0.0065,0.00587,0.00534,0.00467,0.00426,0.00407,0.00386,0.00364
SDN53250,Requiring PC,0.01246,0.01234,0.01221,0.01205,0.01188,0.01172,0.01159,0.01136,0.01115,0.01092,0.01068,0.01045,0.01022,0.00997,0.00972,0.00936,0.00897,0.00849,0.00812,0.00768,0.00721,0.00068,0.00069,0.00069,0.00069,0.00069,0.00068,0.00069,0.00069,7E-04,7E-04,0.00069,0.00069,0.00069,0.00068,0.00068,0.00068,0.00067,0.00067,0.00067,0.00068,0.00068,0.05186,0.05078,0.04997,0.04893,0.04808,0.04734,0.04608,0.04509,0.0444,0.04369,0.04293,0.042,0.04124,0.04047,0.03954,0.03803,0.03635,0.03452,0.03309,0.03145,0.02987
ERI17474,Non-endemic,0.00311,0.00308,0.00307,0.00305,0.00303,0.00301,0.00296,0.00293,0.00289,0.00282,0.00272,0.00259,0.00245,0.00229,0.00212,0.00196,0.0018,0.00166,0.00155,0.00144,0.00132,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,1E-04,0.01035,0.01013,0.00996,0.00999,0.00976,0.00985,0.00946,0.0093,0.00914,0.00877,0.00847,0.00796,0.0075,0.00666,0.00591,0.00526,0.00466,0.00422,0.00405,0.00383,0.00363
ERI17480,Non-endemic,0.0037,0.00365,0.00359,0.00352,0.00344,0.00336,0.00333,0.00323,0.00316,0.00304,0.00291,0.00275,0.00257,0.00234,0.00215,0.00195,0.00179,0.0016,0.00151,0.0014,0.00131,0.00031,0.00031,3E-04,0.00031,0.00031,0.00031,0.00031,3E-04,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,3E-04,0.00031,3E-04,0.01358,0.01304,0.0131,0.01284,0.0131,0.01267,0.01224,0.01158,0.01124,0.01072,0.01006,0.00962,0.00871,0.00747,0.00671,0.00581,0.00516,0.0044,0.0044,0.0042,0.00413
