IUID,Endemicity,Prev_Year2000,Prev_Year2001,Prev_Year2002,Prev_Year2003,Prev_Year2004,Prev_Year2005,Prev_Year2006,Prev_Year2007,Prev_Year2008,Prev_Year2009,Prev_Year2010,Prev_Year2011,Prev_Year2012,Prev_Year2013,Prev_Year2014,Prev_Year2015,Prev_Year2016,Prev_Year2017,Prev_Year2018,Prev_Year2019,Prev_Year2020,Lower_Bound_Year2000,Lower_Bound_Year2001,Lower_Bound_Year2002,Lower_Bound_Year2003,Lower_Bound_Year2004,Lower_Bound_Year2005,Lower_Bound_Year2006,Lower_Bound_Year2007,Lower_Bound_Year2008,Lower_Bound_Year2009,Lower_Bound_Year2010,Lower_Bound_Year2011,Lower_Bound_Year2012,Lower_Bound_Year2013,Lower_Bound_Year2014,Lower_Bound_Year2015,Lower_Bound_Year2016,Lower_Bound_Year2017,Lower_Bound_Year2018,Lower_Bound_Year2019,Lower_Bound_Year2020,Upper_Bound_Year2000,Upper_Bound_Year2001,Upper_Bound_Year2002,Upper_Bound_Year2003,Upper_Bound_Year2004,Upper_Bound_Year2005,Upper_Bound_Year2006,Upper_Bound_Year2007,Upper_Bound_Year2008,Upper_Bound_Year2009,Upper_Bound_Year2010,Upper_Bound_Year2011,Upper_Bound_Year2012,Upper_Bound_Year2013,Upper_Bound_Year2014,Upper_Bound_Year2015,Upper_Bound_Year2016,Upper_Bound_Year2017,Upper_Bound_Year2018,Upper_Bound_Year2019,Upper_Bound_Year2020
MRT31068,Non-endemic,0.00524,0.00513,0.0049,0.00469,0.00453,0.00433,0.00417,0.004,0.00376,0.00355,0.00337,0.00314,0.00295,0.00271,0.00252,0.00228,0.00204,0.00183,0.00191,0.00191,0.00191,0.00119,0.00119,0.0012,0.00119,0.00119,0.0012,0.0012,0.0012,0.00119,0.0012,0.00119,0.00119,0.00119,0.00118,0.00118,0.00118,0.00119,0.00119,0.0012,0.00119,0.00119,0.02329,0.02318,0.02138,0.02097,0.02068,0.0201,0.01914,0.01854,0.01709,0.01598,0.01502,0.01378,0.01294,0.01151,0.0104,0.00956,0.00825,0.00659,0.00761,0.0078,0.00805
TCD10677,Non-endemic,0.00673,0.00655,0.00638,0.00614,0.00603,0.00581,0.00556,0.00529,0.00509,0.00482,0.00457,0.00437,0.00415,0.00388,0.00366,0.00345,0.00322,0.00301,0.00304,0.00304,0.00306,0.00115,0.00116,0.00116,0.00116,0.00116,0.00115,0.00116,0.00117,0.00116,0.00116,0.00116,0.00118,0.00118,0.00119,0.00119,0.00118,0.00118,0.00118,0.00118,0.00117,0.00119,0.0279,0.02735,0.02676,0.02496,0.02403,0.02305,0.02184,0.02053,0.02004,0.01907,0.01789,0.01662,0.01529,0.01434,0.01293,0.01214,0.01084,0.00975,0.01055,0.0109,0.01118
MLI29992,Requiring PC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDN53288,Unknown,0.01045,0.0103,0.01011,0.00981,0.00961,0.00943,0.0092,0.00893,0.00868,0.00841,0.0082,0.00789,0.00764,0.0073,0.00711,0.00676,0.00643,0.006,0.00576,0.00549,0.00526,0.00122,0.00124,0.00123,0.00122,0.00124,0.00123,0.00123,0.00123,0.00125,0.00124,0.00124,0.00123,0.00123,0.00124,0.00124,0.00123,0.00122,0.00122,0.00122,0.00123,0.00121,0.04809,0.04681,0.04592,0.04453,0.04333,0.04207,0.04099,0.04019,0.03912,0.0377,0.03648,0.03554,0.03462,0.03334,0.03255,0.03121,0.02968,0.02801,0.02716,0.02609,0.02489
NER35295,Requiring PC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRT31038,Non-endemic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLI29990,Requiring PC,0.07951,0.07955,0.07962,0.07962,0.07972,0.07996,0.08008,0.07989,0.07745,0.07444,0.04733,0.03341,0.02466,0.02355,0.02247,0.02027,0.01921,0.01791,0.01166,0.00771,0.00728,0.02549,0.02644,0.02757,0.02838,0.02998,0.03105,0.03223,0.03341,0.03344,0.03324,0.0187,0.01083,0.00672,0.00614,0.00506,0.00417,0.00355,0.00312,0.00158,0.00111,0.0011,0.16981,0.16913,0.16798,0.16666,0.16389,0.16294,0.16115,0.15984,0.15408,0.14738,0.10145,0.07799,0.06073,0.05987,0.06031,0.05805,0.0587,0.05654,0.04075,0.03027,0.0296
SDN53283,Unknown,0.00987,0.00972,0.00953,0.00927,0.00905,0.00885,0.00863,0.00835,0.00809,0.00782,0.00755,0.00725,0.00694,0.00665,0.00642,0.0061,0.00578,0.00537,0.00517,0.00491,0.00469,0.00118,0.0012,0.00119,0.00119,0.00119,0.00119,0.00119,0.00119,0.0012,0.0012,0.0012,0.00119,0.0012,0.0012,0.0012,0.00118,0.00118,0.00118,0.00118,0.00118,0.00117,0.03981,0.0388,0.03798,0.03663,0.03571,0.03432,0.03343,0.03215,0.03106,0.02951,0.0281,0.02665,0.0256,0.02456,0.02357,0.02198,0.02065,0.01896,0.01868,0.01813,0.01758
MRT31035,Non-endemic,0.00532,0.00521,0.005,0.00481,0.00464,0.00445,0.0043,0.00414,0.00392,0.00371,0.00353,0.0033,0.00311,0.00287,0.00268,0.00245,0.00222,0.00201,0.00208,0.00207,0.00206,0.00113,0.00113,0.00114,0.00113,0.00113,0.00114,0.00114,0.00114,0.00113,0.00114,0.00113,0.00113,0.00112,0.00112,0.00112,0.00112,0.00113,0.00113,0.00114,0.00113,0.00113,0.0239,0.02341,0.02173,0.02122,0.0211,0.02047,0.01925,0.01883,0.01759,0.0167,0.01577,0.01447,0.01346,0.01196,0.01086,0.00998,0.00887,0.0073,0.00818,0.00827,0.00857
TCD10678,Non-endemic,0.00759,0.00742,0.00724,0.00701,0.00686,0.00665,0.00645,0.0062,0.00602,0.00576,0.00555,0.00534,0.0051,0.00486,0.00462,0.00436,0.00413,0.00391,0.00392,0.00387,0.00385,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00106,0.00107,0.00106,0.00107,0.00106,0.00107,0.00108,0.00109,0.00108,0.00108,0.00108,0.00107,0.00108,0.00107,0.00108,0.02957,0.02904,0.02807,0.02654,0.02589,0.02435,0.02367,0.02258,0.02165,0.02056,0.01964,0.01859,0.01717,0.01619,0.0147,0.01371,0.01255,0.0116,0.01208,0.01231,0.01247
