"StateCode","Population","Regime","Prev_Year2000","Prev_Year2001","Prev_Year2002","Prev_Year2003","Prev_Year2004","Prev_Year2005","Prev_Year2006","Prev_Year2007","Prev_Year2008","Prev_Year2009","Prev_Year2010","Prev_Year2011","Prev_Year2012","Prev_Year2013","Prev_Year2014","Prev_Year2015","Prev_Year2016","Prev_Year2017","Prev_Year2018","Prev_Year2019"
"5340","782083.488815003","No MDA","0.0198670517019838","0.0196557456260969","0.0194916709438052","0.0193410011000073","0.0191862107558711","0.0190358649763047","0.0188343858986422","0.0183474075988078","0.0174878501313243","0.0165417663227808","0.0155598096947235","0.0145781181164854","0.0136367091399961","0.0125800186782866","0.011276551169478","0.00986610033366351","0.0051895016860452","0.00279947334497497","0.00164409079260116","0.0015073421368632"
"2999","794899.145382001","No MDA","0.0110985372559444","0.0110421904001294","0.0109923806976699","0.010938962308379","0.010888199375642","0.0108328546028713","0.0107697369428008","0.0107009635075344","0.0106408964531917","0.0105533317680508","0.00829776683324337","0.00734500492393197","0.0066292574124786","0.00609664643189947","0.00608729630744214","0.00590143238748825","0.00548705906671047","0.00500712827858321","0.00457751345618128","0.00414893783397044"
"3001","217203.973317859","No MDA","0.0304629435303631","0.0303735381804915","0.0303295636668883","0.0302702989283695","0.0302001371537857","0.0301122533022238","0.0300231984462485","0.0299217414893937","0.029798158664744","0.0296481838015489","0.0167081493668627","0.011340961920679","0.00777565356618579","0.00540521102627755","0.00600086580202137","0.00586838091550344","0.00545156514276742","0.00495626300797881","0.00449314994189984","0.00404339815359174"
"3450","1256596.90441932","No MDA","0.028239830253625","0.0281321496640211","0.0280366292979211","0.0279481085546172","0.0278421275189014","0.0277569486058251","0.0276225203854451","0.0274896946663787","0.026897280186103","0.0258784329174107","0.0217886408872765","0.0187064165822494","0.0141852443131742","0.0143355398849971","0.0125276297776698","0.00982159398589759","0.00929191726817491","0.00707998142596735","0.0058782860319646","0.0055130046965171"
"257","1005699.47104217","No MDA","0.0156524970351951","0.0155821218187757","0.0155201461766358","0.0154731436340043","0.0154124893871433","0.0153614036766911","0.0152810243870397","0.0151989016458033","0.0148567039027171","0.0142855736869309","0.0138204911945613","0.0133412604095162","0.012725742233322","0.0120359695854517","0.0113351160945418","0.0106921913199169","0.0100341713514028","0.00936807792218011","0.00891751060156119","0.00843047838562514"
"5337","1734243.58710592","No MDA","0.0234105836657318","0.0233044837025524","0.0232254716265032","0.0231498464013854","0.0230681139112871","0.0229956443431057","0.0229024997434746","0.0223924531342094","0.0214522068980236","0.0204116030456122","0.0192997520471209","0.0181758251802038","0.0171217838860969","0.0158654164973127","0.0143111788834678","0.0126892587604969","0.00810167149852014","0.00554663903420869","0.00415191955894912","0.00367125685992525"
"250","910239.997908905","No MDA","0.0371320136890832","0.0370633664109378","0.0370209852706322","0.0369829447575796","0.0369352829342995","0.0369171335318626","0.0368432322596375","0.0367538629685489","0.0360931699384191","0.0349534983358878","0.0341748317979883","0.0332975120409134","0.0321032784746768","0.0307306936372129","0.0293416378158333","0.0280606424986003","0.0267681113744512","0.0254621751332766","0.0244591792462147","0.0234035599782881"
"2873","480669.952907153","No MDA","0.028210284203255","0.0281187891817002","0.0280289880377706","0.0279473437582072","0.0278626341468902","0.027774006478116","0.0276505397527788","0.0275437485924218","0.0269160563319164","0.0174681054151735","0.016014436647455","0.014499693569906","0.0144034948628496","0.0137828133082734","0.012122250105068","0.0108504659636346","0.00976091816915767","0.00879561738434786","0.0079545238895957","0.0076421005276809"
"5335","1077262.56779944","No MDA","0.0387972788789315","0.038648319558198","0.0385471362695965","0.0384481948636611","0.0383595710120149","0.0382428519953448","0.0380980410279549","0.0372049237745206","0.0356476051892425","0.034004623453857","0.0322568512434905","0.0305120983540434","0.0288508571076525","0.0268382579967757","0.024312103332339","0.0216644841770607","0.0120696310669956","0.00651241684681561","0.00373635395880336","0.00342394838658564"
"5336","529034.342859684","No MDA","0.0202158331559654","0.0200908375716902","0.0199943470052485","0.0198830578771678","0.0197716088380433","0.0196862595514542","0.0195575902609619","0.0190967718471089","0.0182664326618955","0.0173344664204205","0.016344615621204","0.0153394478129376","0.0144080418998251","0.013318951216501","0.0119998105813333","0.0105870737523324","0.00584164469867951","0.00338888005490213","0.00219778671568781","0.00198340650352504"
"3002","282210.900732836","No MDA","0.0280072644949663","0.0279255599799304","0.0279130692447507","0.0278713334949011","0.0278047122567017","0.0277221158479285","0.0276517223524186","0.0275782775991075","0.0274515651614795","0.0273058621451001","0.0152631001171722","0.0103267488942222","0.0070572551189618","0.00488420732307345","0.0054271441658265","0.00530249461669893","0.00492088153362621","0.00446228875484821","0.0040459531222214","0.00363728531787571"
"2991","654991.66011649","No MDA","0.0109324729107344","0.0108874024118939","0.0108434395971497","0.0108039017644787","0.010759821841584","0.0107116457307937","0.0106620700907174","0.0106062266642733","0.0105505027013145","0.0104726018238713","0.0059545096570668","0.00410355208841593","0.00287124240064023","0.00204218403114307","0.00223674881859804","0.00218923755876154","0.00203923632821533","0.00186550083796562","0.00170583836971959","0.00154934425958696"
"2879","845952.727022328","No MDA","0.0759442937570524","0.0758794250141894","0.075864428698404","0.0758389213668536","0.0758177720803005","0.0757715601559033","0.0756643475598688","0.075528205711742","0.0740290055820198","0.0432269828847937","0.0347790132675699","0.0308736303806293","0.0317232098506229","0.0308444304002278","0.0291295863496017","0.0209703003402552","0.0136977284183515","0.00974466498028604","0.0071638969852762","0.00762084183195143"
"3005","259903.294783547","No MDA","0.014355168406213","0.0143214163736224","0.0142803316624897","0.0142467084451687","0.0142062924993999","0.0141582558429769","0.0140908477474492","0.0140397753606267","0.0139767692278263","0.013876557434937","0.00779998859733205","0.00530623032824613","0.0053818563586605","0.00331042928379894","0.00364007872176614","0.00355367756093368","0.0033116414829631","0.00301882473847647","0.00274301751484511","0.0024745400426521"
"2989","761900.151165196","No MDA","0.0229287355900077","0.0228540970271391","0.0228492246558193","0.022823124989646","0.0227600730228046","0.0226913940105551","0.0226381920588821","0.0225842823087338","0.0224846109956256","0.0223588782996984","0.0125453768618657","0.00851423206935404","0.00585197608510422","0.00407222246035189","0.00452320089212546","0.00442453453335102","0.00410873845227046","0.00373009697159005","0.00339010305487442","0.00305913297774153"
