"Country","Population","Regime","Prev_Year2000","Prev_Year2001","Prev_Year2002","Prev_Year2003","Prev_Year2004","Prev_Year2005","Prev_Year2006","Prev_Year2007","Prev_Year2008","Prev_Year2009","Prev_Year2010","Prev_Year2011","Prev_Year2012","Prev_Year2013","Prev_Year2014","Prev_Year2015","Prev_Year2016","Prev_Year2017","Prev_Year2018","Prev_Year2019"
"TCD","9793649.66785753","No MDA","0.04641342859783","0.0463458302427557","0.0462743759207038","0.0462225327632657","0.0461430405666606","0.0460864128244116","0.0459852610683453","0.0450958861685959","0.0435383052586872","0.0419069146566771","0.0401910686333108","0.0384370717726617","0.0367919341735786","0.034706063961074","0.0326233576717899","0.0310423141884873","0.0291751780374755","0.0257168005412059","0.0234483169959849","0.0219057285260312"
"SDN","23034566.2522203","No MDA","0.0308709834328064","0.0307827741710028","0.0307139734326871","0.0306578191017145","0.0305815300250947","0.0305035919091519","0.0304148688978735","0.0303042545619801","0.0301976894417212","0.0296550947319494","0.0284927902299097","0.0271435292948456","0.0258650258818503","0.0242083699752049","0.0222529388525447","0.0203880539649244","0.0185718308342059","0.0168009775112702","0.0153692207138437","0.0139821112442344"
"MRT","2688698.19378155","No MDA","0.0133145870889069","0.0132086987054111","0.0131045642120092","0.0130141185479081","0.0129366066901332","0.0128471376833231","0.0127327658929474","0.012607427564821","0.0122972985879574","0.0117987772000564","0.0113512629642215","0.010920577112746","0.0103568346021805","0.00976047907593617","0.00914139629453069","0.00855658465888166","0.00798892069910338","0.00735943703821518","0.00707466387321016","0.00671843263831807"
"MLI","11740907.6067538","No MDA","0.189577517137585","0.189629038512567","0.189809279334092","0.189970921260121","0.190120735243606","0.190246117421103","0.184602198002282","0.164856089011421","0.137014296409294","0.126583416258963","0.0879446175641467","0.0652734381803842","0.0504235949908942","0.0533417396537703","0.0524084088789267","0.0490736025368124","0.0376446219701637","0.0288360371137933","0.0234132137156835","0.0229626297321326"
"NER","13364895.1219675","No MDA","0.062955959460188","0.0629005809183054","0.0628945638534463","0.0628826407765664","0.0628577404459307","0.0628242209387712","0.0627462029582021","0.0626492059810967","0.0555448980096116","0.0494443226500464","0.0365305453209286","0.0255446890001722","0.0234764837861461","0.0163996523305816","0.0142614826628112","0.0115371592075722","0.00905863401235808","0.00896820371456899","0.00842997413227883","0.00776049509870796"
"ERI","3845240.34223393","No MDA","0.0049965507825801","0.00493356042599196","0.00489231393830818","0.00482522469795124","0.00477292638940338","0.00471829060874067","0.00466536356817687","0.00459953010881118","0.0045201761988226","0.00444087566660008","0.00431637240793266","0.00410286418689776","0.00383307431428552","0.00351725438048709","0.00318111232440979","0.00287773272831997","0.0025338236977243","0.00214618168071668","0.00193290365400959","0.00170301331888707"
"SEN","7677945.40621628","No MDA","0.0445744068833494","0.0445286098471233","0.0445149777946329","0.0444955012056571","0.0444699135322669","0.0444454327811083","0.0443847505846955","0.0443163835215624","0.0389796369398347","0.0354329005562586","0.0338774842708508","0.0341034925353678","0.0335729043957592","0.0319355902500118","0.0284543534350736","0.0261228490740138","0.020298089770168","0.0137099778225327","0.0102795405917292","0.0103919188172589"
"BFA","11512843.7565665","No MDA","0.219643707253674","0.219715334635602","0.215522208211862","0.200385643791597","0.173698804756365","0.149611173872811","0.115228761412663","0.0926732859562104","0.0764708054873407","0.0610976565838942","0.0494422516669776","0.0512507631219586","0.0397785526604524","0.0331781503482672","0.0291325942644994","0.0261051154008958","0.023470037186095","0.0208850403630322","0.0188673176833335","0.0176397662540154"
"ETH","66179525.4017552","No MDA","0.00590243123790995","0.00587339069834744","0.00583979191717171","0.00579900797083299","0.00574884182815679","0.00570560302581812","0.00564425419355369","0.00561035759713967","0.00556128994167691","0.00550660776069662","0.00535428711799803","0.00519655519695761","0.00495536723964535","0.00446390333618235","0.00425346532996755","0.00384052779667112","0.00345216247516387","0.00308881381014758","0.00286951028089551","0.00274996104456369"
"NGA","73595857.3067087","No MDA","0.047976067077717","0.0475357274441907","0.0469787390893236","0.046150381420423","0.0451752777669884","0.0441949856065343","0.0435291755299739","0.0430554627306911","0.0427223439909407","0.0422403250698691","0.0415342787177876","0.0394369558614236","0.0356211161521389","0.0346100875287219","0.0302282518230575","0.0256705509720117","0.0211179131750053","0.0178436590585313","0.0156459047346273","0.0153798638207099"
"GMB","820753.368720919","No MDA","0.0463778767007089","0.0463083555613896","0.0462659883424002","0.0462268053746243","0.0461907128389103","0.0461563107147979","0.0460822911013166","0.0459895872711645","0.0458907045795517","0.0457748378047856","0.0447410951775413","0.0429472392463598","0.0410549205044375","0.0385177757326958","0.0359496792706191","0.0334847871801124","0.0304754364335855","0.0271882575183192","0.0242086588123824","0.0214107862140501"
"CMR","10947472.0128534","No MDA","0.121437156747515","0.12142623366707","0.121507062353559","0.121574777524704","0.121628772612256","0.121680977926918","0.121652985331171","0.121595444322706","0.119648606372093","0.110607318932987","0.107091665836017","0.0908239742277151","0.0688972841557167","0.055727878655764","0.0461736462407505","0.0387813335065701","0.0328582409889158","0.0276015654338481","0.023863963870316","0.0238712208006614"
"GNB","1035041.33941108","No MDA","0.046050455442528","0.0459264235899601","0.0458678375204658","0.0457886776091798","0.0457096675229088","0.0456306789231392","0.0455164219432401","0.0453850678048924","0.0452556193205244","0.0443702823408749","0.0426263392179352","0.0405709185321632","0.0376660276855649","0.0347621358804175","0.0299135232021481","0.0264484775704975","0.0242068479858388","0.0222954225270191","0.0203653621647875","0.0184649317918093"
"GIN","7603465.62775306","No MDA","0.0312878501685478","0.0312089992211359","0.0311599011767309","0.0311070137100819","0.0310460253286811","0.0309873105576782","0.0309069624919087","0.0308109348063593","0.0307057692833681","0.0301164109672624","0.0289354624835852","0.0275576803579574","0.0262362277177385","0.0248645504870246","0.0235031496574405","0.0202807715919276","0.0182139233724158","0.0103061008566516","0.00688526611058193","0.00727031828003736"
"BEN","5038025.14353779","No MDA","0.0298772821474718","0.0298130388398824","0.0297671416819575","0.029276515735709","0.0253827319146072","0.0229567061001715","0.0206863640375862","0.0189766624464525","0.0178976762716997","0.0175770387511514","0.0169058727525783","0.0160072991548253","0.0140276076702725","0.0123521658345134","0.011034519889955","0.00989840190188548","0.00847883059459541","0.00734361245610085","0.00641040390798848","0.00572087690102004"
"SSD","9982491.56202002","No MDA","0.0289953896255346","0.0289180629097582","0.0288371302338943","0.0287555353693115","0.0286908205558883","0.0286068947036365","0.0285116418305801","0.0284045055706035","0.0282840899201342","0.0281702871080106","0.0274947866561758","0.0263438317528556","0.0250995116824129","0.0234766175384931","0.0217815583055678","0.0202080497635515","0.0183049346808758","0.0162096818062337","0.0144442895376447","0.0127521092003181"
"GHA","12360462.5619002","No MDA","0.0749830705832035","0.0749480824725168","0.07402646146464","0.0705760031713951","0.066912644169774","0.0622589669126285","0.0579361442707176","0.054004564066045","0.050250839284397","0.0451725755484631","0.0411686234058065","0.0380505350286493","0.0353099028522576","0.033980475201925","0.0263722734785587","0.022735103599609","0.0211894646266459","0.0192488979348471","0.0174981485466417","0.0160893835629595"
"TGO","3677986.87291595","No MDA","0.0194107166968764","0.0193043475301779","0.0171313277354663","0.0159884811351816","0.0152088554633437","0.0146728340845727","0.014277285062173","0.0139721665413084","0.0137400705459832","0.0135488438228525","0.0132149066141899","0.0127277807244458","0.0121639400649264","0.0114363293973074","0.0106798582756274","0.00995720682218386","0.00908895047121376","0.00812603067356735","0.00730756174109617","0.00651657624860249"
"CAF","3127193.10091296","No MDA","0.106294349075546","0.106274443309951","0.106307154468277","0.106378487923056","0.106420174846091","0.106484460052529","0.106391563393192","0.104224523880413","0.100416884758575","0.0964879809931209","0.0923427214098535","0.0880789896042079","0.0841838935837028","0.0790308734289963","0.0729989381582209","0.0655948789260556","0.0598255875410864","0.0484076701085622","0.0419078934417202","0.0391786515294085"
"CIV","12521213.3505534","No MDA","0.0812166764819379","0.0811534100432386","0.0811654312027248","0.0811687011410681","0.081161698449273","0.0811554353716651","0.0810892386380332","0.0809888728359562","0.0794663821799986","0.0768363380700653","0.074253793877114","0.0668236552432033","0.0654564304525282","0.0628714306664678","0.060048922280548","0.0467811474729786","0.0403445052163624","0.0269577049679434","0.0201508338863584","0.0212572734161841"
"SLE","3703194.02951457","No MDA","0.108952836391655","0.108923628712378","0.1089867812179","0.109048547023986","0.109079089904666","0.109116231416819","0.109042100982839","0.106831201995326","0.0952006206284912","0.0576437470562667","0.0401110349522957","0.0283748418870618","0.0201764987959212","0.0146684427087859","0.016214034924032","0.0162670381098896","0.00979248586685196","0.00665721214394563","0.00471451543808779","0.00503128869815852"
"LBR","2455580.31169932","No MDA","0.0567461867164211","0.0566686891907398","0.0566428054718968","0.0566156882592817","0.0565762257200292","0.0565337421454264","0.0564608665634647","0.0563832112093116","0.0562891000281248","0.0562035002359041","0.0561012743012597","0.0559812516906988","0.055001008467307","0.0540312391043487","0.033407667792002","0.0360056452434434","0.0273418567160991","0.0207908676718557","0.0165878427833669","0.016412186267773"
"KEN","16926682.7449913","No MDA","0.0615187001151635","0.0614660694926341","0.061481793652935","0.0614769461395573","0.0610599620651702","0.061066717707768","0.060718589638619","0.0606584561964053","0.0606010627634228","0.0604801575351115","0.0604179975937937","0.0603220418808063","0.0581896109500543","0.0563418942008562","0.0541667334930822","0.0515188097888425","0.0480046888066626","0.0404731889223155","0.0345967715149603","0.0320698257397092"
"COD","47543281.4541502","No MDA","0.0148932960922542","0.014821383864894","0.0147622766699382","0.0146853476151483","0.0146301485666497","0.014562815617995","0.0144773605143049","0.0144023643964221","0.0143114112448684","0.014218484836154","0.014112505317401","0.0140001834789039","0.0138925332921627","0.0137816161677714","0.0136623140130667","0.0130142366489582","0.0124197157129674","0.011169786502165","0.0104080954288247","0.0100161559044285"
"UGA","20541098.8413349","No MDA","0.0194972647295836","0.0194879003006663","0.0194573346878342","0.0188418722375325","0.0189285001353928","0.0185724209147066","0.0173749447946952","0.0169099177462049","0.0145010776717361","0.012251709723458","0.0127332983803311","0.0110580774642134","0.00826404543911728","0.00776470292510712","0.00801373754194852","0.00651487172482001","0.0054115995060644","0.00490236192120813","0.00451579238207373","0.0043831057054765"
"GNQ","617199.506058097","No MDA","0.0676257278473917","0.0675730274618364","0.067541474244907","0.0674872789039612","0.0674786505549982","0.0674269462189264","0.0673494863879218","0.0672728194054359","0.067177184278214","0.0670532090496352","0.0654963493951245","0.0628355592409625","0.0600643273143236","0.0563090857810318","0.0525180357463886","0.0489055237259388","0.0444331953476314","0.0395883539498814","0.0352125096338273","0.0310820760894156"
"COG","1623783.91086686","No MDA","0.0103233448109411","0.0102196526705608","0.0101360901494321","0.0100186858489989","0.00992861861073046","0.00982656395602238","0.00970807786413028","0.00960288398329205","0.00949699281512823","0.00937057357883619","0.0091035159669735","0.00864790494062985","0.00813362091528822","0.00751224721005769","0.00679775343270351","0.00619523906487552","0.00555761120978449","0.00484920181305341","0.00443109291462152","0.00401203851292855"
"GAB","545469.406221114","No MDA","0.0215800592164751","0.0214484878792121","0.0212849207304477","0.021170003896858","0.0210444008704159","0.0209323459271018","0.0207902980174759","0.0202892008598326","0.01935084867897","0.0183088215391768","0.0172820779937463","0.0162191258788216","0.0152223360576102","0.0140632486009096","0.0128762800614733","0.0119270968533908","0.0109419238580927","0.00981692312109036","0.00892908783073878","0.00805499275471477"
"STP","69916.5650400817","No MDA","0.0144628245341766","0.0143993223052347","0.0143547805854969","0.0142640067276058","0.0142061899053519","0.0141415053790541","0.0140902598434903","0.0139944319550507","0.0139323768632825","0.0138356628059433","0.0135151724119962","0.0129526482852665","0.0122805839189717","0.0114722850401958","0.0105953959216059","0.00984866563431933","0.00909249668630303","0.00824024402898579","0.00747666304985282","0.00673086391904034"
"TZA","34718427.0000226","No MDA","0.0975737953229783","0.0974265083057141","0.0959817069327421","0.0943893538448181","0.0917057341181007","0.0883221768108188","0.0894560497978723","0.0840059881432975","0.0768590911259081","0.0723880102650525","0.0680729459477835","0.063439376065719","0.0544336022865496","0.0461873850702546","0.044065155814598","0.033913747077141","0.0289985024344701","0.0249934209819881","0.0217520295026389","0.0198332336605289"
"RWA","3096323.02320112","No MDA","0.00724812022084342","0.00719760843401203","0.00721638078929209","0.00710410496270468","0.00706739924921218","0.00698013818205337","0.00695007959895254","0.00685678061750768","0.0067636360613339","0.0066793914055593","0.00652481728599478","0.00623485494334406","0.00586297944365765","0.00543838636163965","0.00501413029979172","0.00463822520900338","0.00413654375208968","0.00366889044626581","0.00323920153426433","0.00283938001929396"
"BDI","3865249.50428855","No MDA","0.00551279406927375","0.00548566303829122","0.00546572301891671","0.00546160948052338","0.00542016524080652","0.00539236688301672","0.00534781451907864","0.00534077335956616","0.0052010032414727","0.00502904441344451","0.00480812592419151","0.00463043962673752","0.00441528068381817","0.00420697827930758","0.0039669755411824","0.00374527192013869","0.00346733980551879","0.00326428628557365","0.00308289726250975","0.00291497169064957"
"AGO","12355779.0535334","No MDA","0.035990706136938","0.0359135371105729","0.0358506441784206","0.0357946837477966","0.0357442742640066","0.0356914374098718","0.0356065563471459","0.0355066536677253","0.0349577923729989","0.0340187457679065","0.0333650507410318","0.032650539234645","0.0316373828002591","0.0305115134983534","0.0293498211980115","0.028263453478323","0.0271711432863695","0.0260249747112619","0.0252219028169459","0.0243563918855327"
"TZZ","235066.426765382","No MDA","0.284710071161021","0.284870090671829","0.207561522153125","0.156915544411968","0.123258656055747","0.097648611972797","0.0778639617781342","0.0627823844794875","0.0692515591198128","0.0727070948257907","0.0733057433201381","0.0721580349500199","0.0706994527194253","0.0690047278425195","0.0672202779102046","0.0655188295980945","0.0638126115004077","0.0460361279828929","0.0366490750758145","0.037378690998624"
"ZMB","9533095.92145268","No MDA","0.0302456071451849","0.0301120221605918","0.0300128847440777","0.0299210955190865","0.0298250077231021","0.0297264929929753","0.0296028195674371","0.0289169395196905","0.027698503138564","0.0263930895536724","0.0250027608629317","0.0236016394427394","0.0222875860006378","0.0206987894819895","0.0187147160874761","0.0166404703447118","0.0104433352488896","0.00645522720371209","0.00435213640046819","0.0039036425167778"
